Vss	Rss	Pss	Uss
1685924	146168	88092	78600
1761880	168044	108130	101192
1783112	185312	124606	117256
1889496	244716	182742	175440
1900972	246372	184354	177036
1889440	248364	186213	178972
1896668	251404	189232	181984
2239944	267732	203374	194984
2315036	326176	261695	253160
2310812	327052	262572	254036
2310780	327828	263342	254800
2309692	328408	263922	255380
2309692	328340	263812	255252
2312308	328932	264398	255836
2326468	341348	276744	268208
2290968	319492	255645	247212
2289776	318984	255131	246696
2299216	318904	255191	246896
2299216	330484	266771	258476
2298160	336020	272307	264012
2288816	316888	253222	244880
2282448	316560	252894	244552
2281424	316620	252953	244612
2281408	316588	252921	244580
2282432	316532	252865	244524
2207072	307728	244046	235692
2219420	308236	244544	236188
2224536	310732	247028	238656
2223720	308728	245008	236632
2223720	308296	244576	236200
2228012	315468	251684	243256
2226800	316228	252397	243920
2234556	318260	254380	245864
2233564	316680	252796	244280
2242664	316556	252649	244128
2234748	316492	252583	244060
2230056	316092	252174	243648
2228280	313744	249826	241300
2228280	313196	249279	240752
2228044	314556	250637	242112
2225132	315032	251111	242588
2227240	315072	251155	242628
2237884	319528	255609	247084
2239044	319624	255705	247180
2240016	319956	256035	247512
2240032	319832	255911	247388
2235028	320152	256232	247708
2234852	319748	255817	247288
2234852	319552	255621	247092
2236956	319668	255734	247200
2237292	319184	255248	246716
2241900	319436	255452	246896
2239900	319308	255371	246840
2230636	319388	255450	246920
2229296	318752	254816	246284
2229256	318968	255031	246500
2233308	321680	257739	249208
2232540	321932	257996	249464
2243976	321900	257964	249432
2244860	322068	258128	249596
2246120	321372	257437	248904
2248652	321188	257248	248716
2248496	321432	257492	248960
2248516	321276	257337	248804
2249028	322452	258510	249976
2241916	322564	258621	250088
2242608	322844	258902	250368
2217760	291044	227102	218568
2224320	295944	231999	223464
2237772	297176	233216	224664
2239876	296376	232379	223796
2246116	304952	240932	232320
2242088	302584	238548	229920
2077000	318552	254548	245804
2074164	317584	253579	244836
2048724	313240	249237	240492
2048704	312536	248534	239788
2048704	312188	248185	239440
2291636	323060	259015	250244
2327196	348300	283872	274760
2349492	403520	339093	329984
2368476	492328	427797	418580
2377604	503096	438517	429280
2377928	504736	440184	430944
2400992	534112	469548	460296
2397844	520780	456244	447004
2363396	499436	434900	425660
2362984	500708	436171	426928
2362984	500736	436194	426948
2362984	500720	436177	426932
2431672	522348	457788	448536
2436616	525740	461173	451916
2481980	573988	509380	500100
2481796	568964	504354	495076
2471328	568188	503579	494300
2467192	563816	499208	489928
2468840	563756	499145	489864
2446888	544756	480140	470840
2444840	530044	465430	456128
2447724	530104	465361	455932
2432372	531920	467177	457748
2434452	534548	469805	460376
2389288	495740	430996	421568
2398120	502780	438040	428608
2406304	512148	447408	437976
2410308	530852	465234	454924
2409272	531212	466294	456688
2405080	532260	467346	457736
2405976	533968	469050	459444
2405484	538632	473710	464104
2405464	537272	472348	462744
2405464	537220	472296	462692
2418140	542084	477164	467556
2410620	542392	477474	467864
2410620	542980	478061	468452
2411644	542336	477413	467808
2411664	519796	454876	445268
2393108	521244	456301	446672
2422056	549644	483986	473640
2370732	482736	417784	408160
2370732	482516	417564	407940
2370736	481844	416896	407272
2373392	480936	415990	406364
2373392	480404	415455	405832
2362224	467372	402415	392780
2371812	472684	407727	398092
2383844	473844	408881	399252
2373536	454700	389740	380108
2391868	479124	414151	404512
2391708	480396	415423	405784
2391760	479628	414656	405016
2386524	479280	414307	404668
2384516	479380	414407	404768
2385768	480000	415027	405388
2385768	479972	414999	405360
2385768	479972	414999	405360
2384224	478768	413795	404156
2384416	481808	416837	407196
2387080	482200	417223	407584
2384628	482412	417441	407800
2383604	479888	414915	405276
2383448	479584	414611	404972
2382384	478684	413712	404072
2382524	478980	414005	404360
2379516	478532	413552	403908
2382880	463612	398645	389012
2370176	456540	391523	381840
2370208	456700	391681	382000
2370208	456700	391681	382000
2363688	465072	400051	390388
2381772	466120	401135	391480
2381772	466124	401139	391484
2381772	466124	401139	391484
2389960	466456	401472	391816
2381652	466592	401608	391952
2381652	466544	401560	391904
2379540	466516	401526	391868
2378484	466392	401398	391736
2377408	466628	401631	391968
2377428	466708	401712	392048
2377432	466928	401932	392268
2377304	465824	400819	391148
2400884	479416	414408	404736
2400884	479468	414458	404784
2442524	506124	441114	431440
2429280	503052	438042	428368
2415648	487916	422906	413232
2415316	488060	423050	413376
2415384	488120	423110	413436
2415544	488300	423290	413616
2415544	487628	422618	412944
2410700	487328	422319	412644
2196356	385280	320251	310560
2450788	404020	339006	329332
2450768	416680	351667	341992
2459532	417292	352279	342604
2439396	408196	343172	333488
2447932	403916	338988	329228
2499148	410204	345278	335516
2470984	408920	343993	334232
2418920	396392	331660	321676
2451932	401924	337219	327232
2479164	425896	361182	351196
2479164	425896	361190	351204
2480344	437544	372839	362852
2480344	446292	381587	371600
2480344	446292	381586	371600
2481356	446264	381559	371572
2435288	411632	346917	336920
2438200	397864	333160	323172
2460328	402180	337467	327480
2470936	430192	365487	355500
2470956	430572	365865	355880
2470956	431416	366710	356724
2469880	431388	366682	356696
2469900	430700	365993	356008
2468816	431416	366711	356724
2465636	430616	365911	355924
2468220	433540	368813	358816
2469308	436992	372273	362276
2474304	436652	371933	361936
2474256	439400	374681	364684
2474404	438476	373757	363760
2483752	440444	375725	365728
2477304	442928	378208	368212
2479092	444396	379671	369672
2480784	444968	380237	370236
2480796	445024	380290	370288
2481392	445080	380345	370340
2481392	445188	381385	371348
2481392	445420	381686	371592
2483064	446772	383533	373372
2483024	446832	383424	373392
2485136	446924	383515	373484
2487248	447276	383659	373448
2494580	452952	389147	378800
2492512	453088	389224	378932
2492512	453096	389230	378940
2488936	453704	389780	379548
2440116	402512	338561	328356
2466560	416808	352848	342648
2466560	416816	352853	342656
2441060	413048	349068	338868
2445256	413980	349985	339788
2437796	404468	340485	330296
2429132	406264	342281	332092
2428108	406276	342292	332104
2428108	406276	342295	332104
2425532	404892	340874	330720
2422272	402136	338101	327964
2422272	402152	338117	327980
2443220	405856	341423	331512
2440476	407640	343195	333272
2440340	407580	343135	333212
2440340	407580	343135	333212
2440340	407580	343135	333212
2440340	407580	343136	333212
2432328	400332	335870	325932
2443412	402516	338053	328116
2438248	405100	340638	330700
2446904	405076	340614	330676
2445276	406860	342386	332448
2453116	411864	347385	337432
2453116	411184	346706	336752
2451292	408604	344126	334172
2455572	410084	345606	335652
2448052	412008	347529	337576
2448564	412452	347974	338020
2460644	415236	350739	340772
2458028	414028	349531	339564
2477908	443004	378479	368504
2478144	445028	380504	370528
2478004	446172	381644	371672
2479184	446216	381689	371716
2478196	446324	381780	371824
2478368	446364	381819	371864
2478520	448716	384165	374216
2478520	448896	384345	374396
2479652	449752	385202	375252
2479652	450152	385602	375652
2479652	450280	385731	375780
2479656	450408	385850	375908
2477760	451152	386568	376616
2475716	449928	385344	375392
2475056	450848	386264	376312
2475616	450840	386256	376304
2474576	450332	385748	375796
2472360	448008	383424	373472
2469152	448772	384188	374236
2465908	448508	383924	373972
2466192	448768	384184	374232
2466088	446988	382404	372452
2465088	446280	381696	371744
2472268	446096	381510	371560
2462916	443736	379152	369200
2467916	448408	383822	373872
2469528	448020	383435	373484
2470040	448476	383890	373940
2469980	448496	383909	373960
2468752	448664	384077	374128
2471624	422476	357901	347960
2520592	465064	400452	390480
2520592	465016	400404	390432
2511372	476416	411800	401824
2521608	479416	414800	404824
2514032	479676	415062	405084
2514308	485008	420382	410392
2522588	490120	425467	415456
2528360	492948	428299	418288
2533868	487024	422369	412352
2526492	489888	425233	415216
2526492	489888	425233	415216
2525792	525484	460831	450816
2467368	449700	385046	375032
2452796	449136	384548	374468
2448640	449748	385160	375080
2457124	451816	387244	377148
2457124	451832	387260	377164
2461344	451828	387256	377160
2466088	451604	387032	376936
