MemTotal	MemFree	Buffers	Cached	RealFree
1900556	1100956	9588	284768	1395312.0
1900556	1111196	9644	285136	1405976.0
1900556	1082052	9828	287120	1379000.0
1900556	1069792	9896	287292	1366980.0
1900556	1064520	9936	287444	1361900.0
1900556	1049992	10180	287600	1347772.0
1900556	1030108	10200	287624	1327932.0
1900556	1029120	10256	287952	1327328.0
1900556	1030436	10272	288048	1328756.0
1900556	1023364	10336	288416	1322116.0
1900556	1027620	10356	288452	1326428.0
1900556	1026376	10364	288456	1325196.0
1900556	1025972	10380	288460	1324812.0
1900556	1030656	10412	288476	1329544.0
1900556	1014508	10420	288480	1313408.0
1900556	1003208	10444	288480	1302132.0
1900556	1021152	10676	288796	1320624.0
1900556	1015248	10708	288860	1314816.0
1900556	1009424	10744	288868	1309036.0
1900556	1008592	10760	288872	1308224.0
1900556	1010428	10780	288872	1310080.0
1900556	1010444	10784	288872	1310100.0
1900556	1009812	10832	288872	1309516.0
1900556	1006016	10872	288872	1305760.0
1900556	1004076	10888	289076	1304040.0
1900556	997956	10932	289100	1297988.0
1900556	997444	10956	289100	1297500.0
1900556	991112	10988	289172	1291272.0
1900556	989852	11020	289124	1289996.0
1900556	992904	11076	289132	1293112.0
1900556	994904	11328	289332	1295564.0
1900556	990304	11376	289344	1291024.0
1900556	971128	11452	300508	1283088.0
1900556	956880	11480	304884	1273244.0
1900556	951772	11520	305504	1268796.0
1900556	948932	11528	305508	1265968.0
1900556	946180	11556	305520	1263256.0
1900556	924260	11592	314132	1249984.0
1900556	915304	11616	314924	1241844.0
1900556	901612	11656	316284	1229552.0
1900556	898376	11676	319516	1229568.0
1900556	902000	11728	319724	1233452.0
1900556	884036	11956	327580	1223572.0
1900556	879048	12008	329060	1220116.0
1900556	878228	12044	329216	1219488.0
1900556	878468	12076	329216	1219760.0
1900556	877684	12120	329220	1219024.0
1900556	875344	12152	329224	1216720.0
1900556	876344	12192	331128	1219664.0
1900556	876456	12224	331140	1219820.0
1900556	876948	12240	331152	1220340.0
1900556	876556	12280	331140	1219976.0
1900556	875816	12320	331160	1219296.0
1900556	877936	12472	331156	1221564.0
1900556	875088	12512	331164	1218764.0
1900556	874396	12608	331344	1218348.0
1900556	876820	12640	331336	1220796.0
1900556	875484	12664	331336	1219484.0
1900556	875112	12688	331340	1219140.0
1900556	875200	12712	331348	1219260.0
1900556	874108	12720	331352	1218180.0
1900556	874012	12748	331996	1218756.0
1900556	872360	12772	334576	1219708.0
1900556	872760	12804	334580	1220144.0
1900556	872716	12828	334588	1220132.0
1900556	872160	12868	334592	1219620.0
1900556	870000	12900	334600	1217500.0
1900556	868336	12924	334604	1215864.0
1900556	867096	12948	334608	1214652.0
1900556	867152	12956	334616	1214724.0
1900556	858624	12980	334620	1206224.0
1900556	866376	12996	334632	1214004.0
1900556	867764	13052	334624	1215440.0
1900556	870180	13116	334628	1217924.0
1900556	868728	13140	334636	1216504.0
1900556	868376	13164	334708	1216248.0
1900556	865640	13196	334716	1213552.0
