MemTotal	MemFree	Buffers	Cached	RealFree
1900556	867428	11664	387300	1266392.0
1900556	835572	12016	391336	1238924.0
1900556	822084	12048	393232	1227364.0
1900556	827584	12172	393472	1233228.0
1900556	827856	12200	393608	1233664.0
1900556	814764	12316	393652	1220732.0
1900556	833568	12344	393656	1239568.0
1900556	834700	12392	393688	1240780.0
1900556	831992	12424	393688	1238104.0
1900556	821344	12444	393704	1227492.0
1900556	820180	12532	393724	1226436.0
1900556	755312	12840	412156	1180308.0
1900556	690308	13048	430388	1133744.0
1900556	586672	13316	462672	1062660.0
1900556	543220	13376	463188	1019784.0
1900556	567508	13472	466380	1047360.0
1900556	526136	13576	481516	1021228.0
1900556	516920	13592	487896	1018408.0
1900556	466728	13776	497400	977904.0
1900556	452256	13820	509876	975952.0
1900556	451776	13836	509880	975492.0
1900556	443884	13908	510136	967928.0
1900556	512796	14044	494388	1021228.0
1900556	484564	14084	505032	1003680.0
1900556	465044	14140	507456	986640.0
1900556	450868	14164	510128	975160.0
1900556	444976	14200	511028	970204.0
1900556	447900	14216	511324	973440.0
1900556	446780	14232	511332	972344.0
1900556	439192	14256	511468	964916.0
1900556	439356	14280	511496	965132.0
1900556	437828	14564	509640	962032.0
1900556	409492	14604	511756	935852.0
1900556	411688	14628	511748	938064.0
1900556	406036	14644	511844	932524.0
1900556	401040	14688	520160	935888.0
1900556	394592	14696	520180	929468.0
1900556	396260	14724	520288	931272.0
1900556	408184	14740	520296	943220.0
1900556	400644	14772	520288	935704.0
1900556	383704	14824	528720	927248.0
1900556	376372	14836	528816	920024.0
1900556	383968	14844	528816	927628.0
1900556	353724	14844	528816	897384.0
1900556	364128	14912	537248	916288.0
1900556	359532	14928	537240	911700.0
1900556	363808	14980	545672	924460.0
1900556	364688	14988	545672	925348.0
1900556	361712	15004	545776	922492.0
1900556	376620	15048	548868	940536.0
1900556	355292	15104	554216	924612.0
1900556	359988	15112	554216	929316.0
1900556	360472	15112	554216	929800.0
1900556	382628	15144	554308	952080.0
1900556	345576	15392	573240	934208.0
1900556	371604	15440	570848	957892.0
1900556	379796	15476	573884	969156.0
1900556	343624	15516	581604	940744.0
1900556	327052	15548	582000	924600.0
1900556	334888	15584	581932	932404.0
1900556	337100	15592	582008	934700.0
1900556	324540	15664	587412	927616.0
1900556	335600	15736	587432	938768.0
1900556	325232	15752	588264	929248.0
1900556	330884	15760	588400	935044.0
1900556	330832	15768	588640	935240.0
1900556	327128	15784	588660	931572.0
1900556	320420	15800	588660	924880.0
1900556	327832	15808	588664	932304.0
1900556	317780	15816	588664	922260.0
1900556	315260	15824	588680	919764.0
1900556	328496	15856	589056	933408.0
1900556	331056	15864	589060	935980.0
1900556	327776	15880	589080	932736.0
1900556	296172	16072	590608	902852.0
1900556	373540	16204	590576	980320.0
1900556	365592	16228	593028	974848.0
1900556	345248	16244	599608	961100.0
1900556	326728	16268	600528	943524.0
1900556	318776	16308	600536	935620.0
1900556	314428	16348	603964	934740.0
1900556	325648	16432	606824	948904.0
1900556	314084	16564	611068	941716.0
1900556	309432	16604	611596	937632.0
1900556	333252	16716	614468	964436.0
1900556	331532	16756	613276	961564.0
1900556	266772	16896	641128	924796.0
1900556	241276	16920	641128	899324.0
1900556	270308	16936	641228	928472.0
1900556	265252	16944	642268	924464.0
1900556	243764	17008	657972	918744.0
1900556	240288	17032	658076	915396.0
1900556	222796	17088	661328	901212.0
1900556	233572	17124	668628	919324.0
1900556	232068	17132	668636	917836.0
1900556	226664	17148	668740	912552.0
1900556	215056	17252	675620	907928.0
1900556	221560	17276	677224	916060.0
1900556	226452	17308	677336	921096.0
1900556	223840	17324	677336	918500.0
1900556	212272	17348	677424	907044.0
1900556	215020	17392	685076	917488.0
1900556	216884	17400	685860	920144.0
1900556	218584	17416	685860	921860.0
1900556	216928	17432	685956	920316.0
1900556	218172	17440	685964	921576.0
1900556	218400	17468	686144	922012.0
1900556	211944	17476	686448	915868.0
1900556	203692	17492	686512	907696.0
1900556	199856	17540	693376	910772.0
1900556	186456	17592	703256	907304.0
1900556	184912	17608	703360	905880.0
1900556	175460	17624	703456	896540.0
1900556	165120	17624	703456	886200.0
1900556	136884	17632	703560	858076.0
1900556	174184	17632	703560	895376.0
1900556	170844	17640	703656	892140.0
1900556	168608	17640	703656	889904.0
1900556	171232	17656	703648	892536.0
1900556	160988	17672	703760	882420.0
1900556	173268	17672	703760	894700.0
1900556	172988	17680	703768	894436.0
1900556	174564	17688	703864	896116.0
1900556	174940	17688	703880	896508.0
1900556	171392	17704	703884	892980.0
1900556	147196	17736	704304	869236.0
1900556	118176	17752	704524	840452.0
1900556	171456	17776	705112	894344.0
1900556	161244	17836	713528	892608.0
1900556	148436	17940	730368	896744.0
1900556	154200	17948	730368	902516.0
1900556	148940	17956	730368	897264.0
1900556	147804	17964	730472	896240.0
1900556	151232	17972	730472	899676.0
1900556	152400	18000	738800	909200.0
1900556	140800	18008	738912	897720.0
1900556	142980	18032	739008	900020.0
1900556	137552	18048	739004	894604.0
1900556	134320	18096	738936	891352.0
1900556	126088	18116	743232	887436.0
1900556	96320	18124	743232	857676.0
1900556	134536	18132	743232	895900.0
1900556	132216	18140	743328	893684.0
1900556	132744	18140	743336	894220.0
1900556	107712	18172	743440	869324.0
1900556	127028	18180	743440	888648.0
1900556	102880	18188	743536	864604.0
1900556	85360	18196	743536	847092.0
1900556	131016	18196	743536	892748.0
1900556	129316	18196	743536	891048.0
1900556	133428	18236	743644	895308.0
1900556	129548	18236	743644	891428.0
1900556	130368	18236	743644	892248.0
1900556	130068	18252	743752	892072.0
1900556	133788	18276	743852	895916.0
1900556	124956	18292	743948	887196.0
1900556	134896	18308	743948	897152.0
1900556	137420	18308	743948	899676.0
1900556	136564	18308	743948	898820.0
1900556	134600	18324	743948	896872.0
1900556	133592	18324	743948	895864.0
1900556	130568	18324	743948	892840.0
1900556	129748	18324	743948	892020.0
1900556	126828	18324	743948	889100.0
1900556	137460	18364	744032	899856.0
1900556	143940	18380	744036	906356.0
1900556	158368	18388	744084	920840.0
1900556	159320	18388	744084	921792.0
1900556	149016	18396	744092	911504.0
1900556	148900	18420	744100	911420.0
1900556	140788	18428	744108	903324.0
1900556	136600	18436	744100	899136.0
1900556	151144	18444	744108	913696.0
1900556	152140	18444	744108	914692.0
1900556	147484	18452	744124	910060.0
1900556	135532	18452	744124	898108.0
1900556	144968	18476	743652	907096.0
1900556	135548	18500	743784	897832.0
1900556	148484	18524	743816	910824.0
1900556	153732	18532	743824	916088.0
1900556	167296	18548	743836	929680.0
1900556	104388	18588	743844	866820.0
1900556	133892	18612	743840	896344.0
1900556	128080	18612	743848	890540.0
1900556	155004	18644	743844	917492.0
1900556	136360	18652	743860	898872.0
