Vss	Rss	Pss	Uss
1763680	158760	99598	92588
1797004	193392	133339	125996
1806472	217684	157578	150184
1802632	207144	147051	139656
1802632	206264	146169	138776
1788904	205508	145347	138020
1781512	205480	145309	137984
1779400	205664	145377	138164
1786428	204216	143901	136668
1785436	214084	153768	146536
1796020	214732	153386	145744
1917264	281888	219432	211892
1986780	339744	277188	269580
2313536	385504	321836	313292
2339072	354632	290891	282516
2312408	359724	295944	287524
2356084	406632	342231	333204
2386728	423820	359414	350376
2407976	453028	388562	379444
2402756	463440	398974	389856
2399416	464384	399901	390776
2397352	468344	404019	395076
2340948	409520	345151	336188
2367728	426164	361747	352792
2406068	449780	385363	376408
2419868	464864	400447	391492
2419868	467384	402967	394012
2419868	468784	404368	395412
2417756	468776	404359	395404
2398064	472736	408319	399364
2373064	471964	407546	398592
2379132	447896	383481	374540
2380156	447004	382592	373648
2379912	447860	383397	374460
2380172	447740	383276	374340
2379900	446348	381887	372948
2380976	447740	383279	374344
2380184	448172	383681	374776
2380724	453276	388788	379880
2380472	454940	390448	381544
2380736	454872	390382	381476
2380452	453888	389396	380492
2379416	456672	392177	383272
2379416	456680	392188	383284
2379572	455156	390663	381760
2379660	454852	390360	381456
2379404	454500	390008	381104
2378504	454548	390056	381152
2378604	446916	382424	373520
2378784	448112	383620	374716
2378784	448124	383631	374728
2378540	446968	382473	373568
2345176	427916	363430	354532
2363944	430456	365967	357068
2342152	426336	361847	352948
2388396	426564	362073	353172
2411628	438848	374344	365440
2446492	454356	389859	380956
2446752	454020	389524	380620
2425252	464048	399549	390648
2426328	464524	400022	391120
2434788	473368	408858	399956
2432608	471936	407430	398524
2440444	481776	417272	408364
2436856	480568	416063	407156
2436308	482352	417835	408928
2436328	484384	419867	410960
2436308	483960	419443	410536
2436560	486048	421532	412624
2436540	486156	421637	412732
2440048	481340	416815	407896
2434912	482696	418175	409256
2437052	483616	419089	410168
2435372	486684	422157	413236
2365388	428348	363841	354940
2418136	441716	377167	368252
2432436	442248	377710	368796
2415304	453328	388796	379880
2415304	453324	388792	379876
2430000	465504	400973	392056
2400988	471168	406637	397720
2397404	461852	397362	388424
2380848	435000	370502	361572
2380848	435076	370578	361648
2382900	432628	367898	358748
2393852	466836	402111	392948
2395368	463412	398684	389524
2395544	463148	398422	389260
2400052	467352	402624	393464
2409288	469076	404302	395148
2401628	470268	405450	396332
2402052	470492	405668	396556
2400032	469684	404858	395748
2398776	469904	405077	395968
2398776	470092	405264	396156
2401744	471496	406665	397560
2400276	470988	406140	397028
2400120	468804	403955	394844
2399276	468396	403547	394436
2399188	466828	401973	392860
2395444	466612	401758	392644
2395452	467276	402422	393308
2395948	466108	401253	392140
2393596	466648	401793	392680
2394660	465512	400658	391544
2396324	465872	401018	391904
2398972	468208	403292	394116
2400636	469152	404235	395060
2401860	470588	405671	396496
2407736	474112	409192	400012
2434256	474664	409743	400564
2434256	474700	409780	400600
2434784	474500	409580	400400
2434784	474524	409604	400424
2434388	474652	409732	400552
2411612	474764	409845	400664
2412124	473836	408916	399736
2413660	473836	408916	399736
2411700	472336	407416	398236
2411792	472408	407488	398308
2411792	472280	407359	398180
2410604	469996	405058	395872
2409612	469652	404689	395528
2419196	468164	403227	394040
2419216	474040	409088	399876
2419216	470036	405084	395872
2419216	468756	403804	394592
2419216	474040	409088	399876
2400612	474060	409107	399896
2411284	472936	407900	398768
2408964	473004	407972	398836
2400776	472716	407688	398548
2410284	472680	408489	399352
2411428	472912	408134	399104
2411428	472968	408190	399160
2411428	472832	408054	399024
2412144	472572	407778	398740
2412144	472572	407778	398740
2401932	472872	408011	398928
2401984	473004	408106	398988
2400928	473032	408134	399016
2401324	473936	409038	399920
2401156	473776	408877	399760
2401388	472928	408026	398912
2401388	471912	407002	397892
2402404	471620	406704	397596
2401380	471616	406700	397592
2402916	471620	406704	397596
2401356	471576	406656	397548
2399788	471412	406496	397388
2405892	468804	403877	394764
2400032	468404	403477	394364
2399928	467744	402817	393704
2400084	467004	402076	392964
2399152	465356	400447	391316
2404712	465936	401027	391896
2397564	465708	400799	391668
2398088	465284	400375	391244
2398088	465284	400376	391244
2397856	464848	399939	390808
2397452	464540	399631	390500
2396404	463312	398403	389272
2386200	448524	383646	374484
2386200	448524	383646	374484
2386200	448524	383646	374484
2386200	448524	383646	374484
2386200	448524	383646	374484
2386200	447760	382866	373688
2419404	452432	387537	378360
2443372	452980	388136	378912
2443372	452600	387756	378532
2441876	451548	386704	377480
2441876	451552	386708	377484
2443424	452232	387355	378096
2443424	452228	387348	378088
2443424	452232	387350	378088
2443424	450468	385573	376304
2459748	450424	385528	376260
2459612	450408	385512	376244
2454452	449140	384488	374968
2453444	449164	384533	374960
2453444	449180	384547	374972
2453452	449176	384605	374992
2453452	449176	384605	374992
2462560	449076	384851	375520
2462508	448496	384241	374940
2446336	448800	384506	375220
