DalvikHeapPss	DalvikHeapSize	UsedDalvikHeap	FreeDalvikHeap	NativePssTotal	NativeHeapSize	UtilizationDalvik
8004	27450	23311	4139	4126	12288	0.8492167577413479
11214	36801	26192	10609	5305	12288	0.7117197902230917
11854	40598	26863	13735	6321	16384	0.6616828415192867
12321	39990	27318	12672	6781	16384	0.6831207801950487
11040	40238	25163	15075	6613	16384	0.6253541428500422
12480	41225	27405	13820	7717	16384	0.6647665251667677
14495	40714	29408	11306	7762	16384	0.7223068232057769
15675	42593	30293	12300	7774	16384	0.7112201535463574
17771	44870	32637	12233	8218	16384	0.7273679518609316
18067	46106	32987	13119	8206	16384	0.7154600268945474
17759	46252	32334	13918	8430	16384	0.6990832828850644
18231	46942	33054	13888	8914	16384	0.7041455413062929
18631	46564	33536	13028	9162	16384	0.7202130401168284
18119	46725	32742	13983	9070	16384	0.7007383627608347
18483	47313	33353	13960	9690	16384	0.7049436729862828
19096	46978	33966	13012	9760	16384	0.7230192856230576
18736	47198	33276	13922	9692	16384	0.7050298741472096
19028	47807	33823	13984	10260	16384	0.7074905348589119
19152	47340	34212	13128	10556	16384	0.7226869455006337
18980	47561	33541	14020	10716	16384	0.7052206639894031
19424	48190	34269	13921	11160	20480	0.7111226395517742
19680	47863	34553	13310	11244	20480	0.7219146313436267
19416	48044	34079	13965	11452	20480	0.709328948463908
19840	48658	34718	13940	11832	20480	0.7135106251798266
20184	48314	35018	13296	11848	20480	0.7248002649335596
19704	48489	34204	14285	11768	20480	0.7053971003732805
20156	49017	35084	13933	12424	20480	0.715751677989269
20632	48796	35492	13304	12288	20480	0.7273547012050168
20180	48886	34700	14186	12312	20480	0.7098146708669149
20604	49555	35392	14163	12736	20480	0.7141963474926849
21032	49216	35863	13353	13040	20480	0.7286857932379714
20560	49319	35137	14182	12916	20480	0.7124434802003284
21064	49998	35933	14065	13440	20480	0.718688747549902
21588	49640	36375	13265	13588	20480	0.7327759871071716
21168	49819	35660	14159	13484	20480	0.7157911640137297
21532	50448	36291	14157	14052	20480	0.7193744053282588
21928	50076	36707	13369	14164	20480	0.7330258007828101
21560	50203	36046	14157	14096	20480	0.7180049001055714
21876	50892	36606	14286	14500	20480	0.7192879037962745
22304	50438	37022	13416	14756	20480	0.7340100717712835
21876	50572	36362	14210	14760	20480	0.7190144744127185
22384	51291	37050	14241	15220	20480	0.7223489501082061
22872	50869	37571	13298	15536	20480	0.7385834201576599
22432	51039	37020	14019	15180	20480	0.7253276905895492
22916	51733	37557	14176	15764	24576	0.7259776158351535
23368	51354	38019	13335	16024	24576	0.7403318144643066
22860	51519	37277	14242	16024	24576	0.7235582988800249
23388	52117	38227	13890	16420	24576	0.7334842757641461
24044	51871	38672	13199	16496	24576	0.7455418249118004
23348	52034	37846	14188	16528	24576	0.7273321289925818
23844	52611	38448	14163	17180	24576	0.7307977419170896
24324	52254	38957	13297	17472	24576	0.74553144256899
23924	52421	38264	14157	17448	24576	0.7299364758398352
24400	53084	39001	14083	17852	24576	0.7347034888101877
24788	52749	39419	13330	18116	24576	0.7472937875599538
24300	52696	38807	13889	17840	24576	0.7364316077121603
24848	53557	39413	14144	18440	24576	0.7359075377635043
25252	53165	39854	13311	18540	24576	0.7496285150004702
24684	53126	39212	13914	18496	24576	0.738094341753567
25240	53976	39827	14149	19040	24576	0.7378649770268267
25640	53567	40258	13309	19148	24576	0.7515447943696679
24988	53567	39562	14005	19032	24576	0.7385517202755428
25612	54320	40190	14130	19568	24576	0.7398748159057438
26212	54049	40781	13268	19844	24576	0.7545190475309441
25580	54211	40045	14166	19628	24576	0.7386877202043866
26068	54834	40628	14206	20220	28672	0.7409271619797936
26672	54414	41208	13206	20588	28672	0.7573051053037821
26080	54502	40540	13962	20336	28672	0.7438259146453341
26644	55258	41170	14088	21032	28672	0.7450504904267256
27160	54937	41684	13253	21052	28672	0.7587600342210168
26592	54934	41032	13902	21000	28672	0.7469326828557906
27084	55736	41562	14174	21552	28672	0.7456939859336874
27428	55301	41940	13361	21640	28672	0.7583949657329886
26896	55320	41337	13983	21460	28672	0.747234273318872
27444	56090	41935	14155	21876	28672	0.7476377250846853
27956	55719	42430	13289	22200	28672	0.7614996679768122
27348	55712	41728	13984	22108	28672	0.7489948305571511
27884	56525	42336	14189	22736	28672	0.7489783281733746
28396	56166	42867	13299	22888	28672	0.763219741480611
27924	56220	42299	13921	22888	28672	0.7523834934187122
28460	57043	42897	14146	23344	28672	0.7520116403414968
28924	56696	43402	13294	23652	28672	0.7655213771694652
28360	56672	42770	13902	23412	28672	0.754693675889328
28944	57467	43371	14096	23872	28672	0.7547113995858493
29388	57165	43826	13339	24220	28672	0.7666579200559783
28808	57080	43193	13887	24156	32768	0.7567098808689559
29380	57940	43779	14161	24680	32768	0.7555919917155678
29684	57509	44088	13421	24752	32768	0.7666278321654002
29200	57417	43546	13871	24724	32768	0.7584164968563317
29864	58376	44260	14116	25296	32768	0.7581882965602302
30284	57996	44692	13304	25632	32768	0.7706048693013311
29688	57944	44024	13920	25440	32768	0.7597680519121911
30212	58792	44587	14205	25944	32768	0.7583854946251191
30584	58373	45001	13372	25956	32768	0.7709214876740959
30056	58423	44408	14015	25900	32768	0.7601115998836074
30604	59187	44990	14197	26496	32768	0.7601331373443493
