DalvikHeapPss	DalvikHeapSize	UsedDalvikHeap	FreeDalvikHeap	NativePssTotal	NativeHeapSize	UtilizationDalvik
21172	42600	35533	7067	8251	16384	0.8341079812206573
29444	55304	43207	12097	12190	24576	0.7812635614060466
31032	55205	46155	9050	12458	24576	0.8360655737704918
32311	56775	43053	13722	13249	24576	0.7583091149273448
34379	55889	49540	6349	16193	24576	0.8863998282309578
38975	58370	42260	16110	19689	36864	0.7240020558506082
32935	59118	42767	16351	20813	36864	0.7234175716363882
41471	59134	56409	2725	21281	36864	0.9539182196367572
44115	59420	44041	15379	23909	40960	0.7411814203971727
35943	61415	45342	16073	23949	40960	0.7382886916876984
46351	60650	59400	1250	35829	65536	0.9793899422918384
43575	68080	56763	11317	35977	65536	0.8337690951821387
47687	68106	62247	5859	22637	40960	0.9139723372390097
43727	68137	53140	14997	22821	40960	0.7798993204866665
43891	68483	53741	14742	22853	40960	0.7847348977118409
45527	68316	59786	8530	23557	40960	0.8751390596639147
44095	68464	53427	15037	23745	40960	0.780366323907455
43875	68429	52576	15853	23077	40960	0.7683292171447778
43839	68445	52347	16098	23117	40960	0.7648038571115494
43883	68460	52666	15794	22945	40960	0.7692959392345895
43855	68483	52483	16000	22821	40960	0.7663653753486267
43895	68495	52724	15771	22793	40960	0.7697496167603475
43911	68514	52824	15690	22833	40960	0.7709957089062089
44011	68544	53317	15227	22697	40960	0.7778507236227824
43935	68552	52658	15894	22673	40960	0.768146808262341
43919	68567	52693	15874	22653	40960	0.7684892149284641
43939	68574	52912	15662	22617	40960	0.771604398168402
43931	68594	52738	15856	22565	40960	0.7688427559261743
43943	68610	52756	15854	22585	40960	0.7689258125637662
43919	68601	52841	15760	22593	40960	0.7702657395664786
43983	68614	53101	15513	22517	40960	0.7739091147579211
44007	68696	52809	15887	23625	40960	0.7687347152672644
52663	68617	61530	7087	23185	40960	0.8967165571214131
48275	73031	57223	15808	23105	40960	0.7835439744765922
48267	73051	57146	15905	23001	40960	0.7822753966407031
48279	73064	57290	15774	23069	40960	0.7841070842001533
48239	73054	57309	15745	23177	40960	0.784474498316314
48283	73059	57546	15513	23077	40960	0.7876647640947727
48267	73110	57139	15971	23041	40960	0.7815483517986596
48267	73126	57199	15927	23109	40960	0.782197850285808
48279	73142	57255	15887	23065	40960	0.7827923764731618
48323	73165	57677	15488	23161	40960	0.7883140846032939
48227	73168	57070	16098	23065	40960	0.7799857861360158
48203	73159	57000	16159	23125	40960	0.7791249196954578
48287	73176	57548	15628	22993	40960	0.7864327101782005
48699	73231	58058	15173	23293	40960	0.7928063251901517
48627	73611	57583	16028	23245	40960	0.7822608034125335
48399	73356	57485	15871	23277	40960	0.7836441463547631
48427	73376	57289	16087	23229	40960	0.7807593763628434
48387	73392	57524	15868	23333	40960	0.7837911488990625
48363	73415	57315	16100	23213	40960	0.7806987672818906
48387	73430	57448	15982	23237	40960	0.7823505379272777
48399	73446	57500	15946	23341	40960	0.7828881082700215
48423	73468	57683	15785	23393	40960	0.7851445527304405
48411	73506	57689	15817	23333	40960	0.7848202867793105
48379	73501	57386	16115	23301	40960	0.780751282295479
48419	73521	57784	15737	23233	40960	0.7859523129446009
48383	73508	57537	15971	23177	40960	0.7827311313054361
48415	73523	57806	15717	23285	40960	0.7862301592698884
48391	73582	57700	15882	23381	40960	0.7841591693620722
48419	73617	57629	15988	23241	40960	0.7828219025496829
48423	73618	57743	15875	23261	40960	0.7843598033089734
48431	73640	57736	15904	23329	40960	0.7840304182509505
48459	73655	57893	15762	23473	40960	0.7860023080578372
48455	73691	57911	15780	23225	40960	0.7858625883757854
48471	73697	57746	15951	23173	40960	0.7835597107073557
48483	73719	57898	15821	23229	40960	0.7853877562093897
48435	73736	57800	15936	23177	40960	0.7838776174460237
48455	73751	57751	16000	23209	40960	0.7830537891011647
48475	73779	57974	15805	23153	40960	0.7857791512490004
48723	73779	58168	15611	23289	40960	0.7884086257607178
48455	73773	57684	16089	23377	40960	0.7819120816558903
48547	73801	58320	15481	23337	40960	0.7902331946721589
48595	73809	58593	15216	23437	40960	0.7938462789090761
48531	73856	57791	16065	23421	40960	0.7824821273830156
48555	73875	58122	15753	23509	40960	0.786761421319797
48543	73898	57903	15995	23477	40960	0.7835530054940594
48635	73910	58593	15317	23681	40960	0.7927614666486267
48647	73948	57999	15949	23561	40960	0.7843214150484124
48559	73955	57934	16021	23553	40960	0.78336826448516
48595	73971	58301	15670	23585	40960	0.7881602249530222
48583	73995	58143	15852	23557	40960	0.7857693087370768
48559	74010	58054	15956	23669	40960	0.7844075124983111
48599	74033	58304	15729	23733	40960	0.7875406913133333
48567	74092	58148	15944	23645	40960	0.7848080764455002
48571	74073	58129	15944	23709	40960	0.7847528789167443
48807	74054	58436	15618	23745	40960	0.7890998460582818
48543	74070	58073	15997	23657	40960	0.7840286215741866
48547	74092	58042	16050	23685	40960	0.7833774226637154
