MemTotal	MemFree	Buffers	Cached	RealFree
1900556	1002228	9688	299564	1311480.0
1900556	1008932	9976	301916	1320824.0
1900556	999128	10016	302016	1311160.0
1900556	974372	10072	302036	1286480.0
1900556	962008	10268	302296	1274572.0
1900556	932956	10416	309224	1252596.0
1900556	937276	10532	312312	1260120.0
1900556	890160	10652	322624	1223436.0
1900556	883964	10672	322628	1217264.0
1900556	889432	10796	323156	1223384.0
1900556	860972	10812	323328	1195112.0
1900556	864408	10828	323432	1198668.0
1900556	867976	10844	324864	1203684.0
1900556	861060	10868	325404	1197332.0
1900556	860096	10900	325432	1196428.0
1900556	857320	10956	325524	1193800.0
1900556	858160	10988	325520	1194668.0
1900556	857816	10988	326792	1195596.0
1900556	856004	10988	326880	1193872.0
1900556	855760	10988	326944	1193692.0
1900556	861636	10988	326992	1199616.0
1900556	861856	10988	326996	1199840.0
1900556	860716	11076	327124	1198916.0
1900556	861816	11188	327136	1200140.0
1900556	860984	11196	327136	1199316.0
1900556	860680	11260	327136	1199076.0
1900556	860096	11316	327140	1198552.0
1900556	859148	11340	327140	1197628.0
1900556	860888	11340	327144	1199372.0
1900556	859424	11340	327152	1197916.0
1900556	860516	11420	327152	1199088.0
1900556	855020	11440	327436	1193896.0
1900556	844868	11448	327480	1183796.0
1900556	849108	11448	327484	1188040.0
1900556	849476	11464	327516	1188456.0
1900556	846520	11528	327548	1185596.0
1900556	853776	11544	327540	1192860.0
1900556	852584	11632	327544	1191760.0
1900556	851040	11656	327548	1190244.0
1900556	850964	11656	327556	1190176.0
1900556	850388	11656	327564	1189608.0
1900556	850848	11712	327568	1190128.0
1900556	850876	11720	327572	1190168.0
1900556	850516	11720	327572	1189808.0
1900556	850692	11816	327572	1190080.0
1900556	847808	11852	327880	1187540.0
1900556	848972	11892	327940	1188804.0
1900556	849228	11900	327940	1189068.0
1900556	848140	11908	327944	1187992.0
1900556	848856	11908	327948	1188712.0
1900556	848580	11908	327948	1188436.0
1900556	848072	11908	327952	1187932.0
1900556	847036	11908	327956	1186900.0
1900556	846344	11932	327964	1186240.0
1900556	846752	12012	327964	1186728.0
1900556	846068	12028	327964	1186060.0
1900556	842052	12052	327968	1182072.0
1900556	842884	12060	327972	1182916.0
1900556	841324	12132	327900	1181356.0
1900556	841352	12148	327980	1181480.0
1900556	841252	12164	328044	1181460.0
1900556	846504	12188	328048	1186740.0
1900556	845796	12188	328056	1186040.0
1900556	844960	12220	328064	1185244.0
1900556	844148	12244	328584	1184976.0
1900556	844284	12252	328588	1185124.0
1900556	845172	12252	328596	1186020.0
1900556	844188	12252	328600	1185040.0
1900556	843144	12252	328604	1184000.0
1900556	844372	12252	328604	1185228.0
1900556	843208	12348	328588	1184144.0
1900556	843860	12364	328608	1184832.0
1900556	843376	12372	328612	1184360.0
1900556	842648	12452	328620	1183720.0
1900556	842528	12468	328620	1183616.0
1900556	842880	12500	328688	1184068.0
1900556	841648	12508	328692	1182848.0
1900556	846476	12556	328696	1187728.0
1900556	847256	12564	328696	1188516.0
1900556	846424	12572	328696	1187692.0
1900556	846368	12620	328704	1187692.0
1900556	844316	12628	328704	1185648.0
1900556	845516	12628	328712	1186856.0
1900556	844600	12684	328724	1186008.0
1900556	844668	12708	328720	1186096.0
1900556	843760	12716	328724	1185200.0
1900556	843392	12748	328724	1184864.0
1900556	835004	12756	328728	1176488.0
1900556	844400	12756	328728	1185884.0
1900556	843596	12812	328728	1185136.0
1900556	842936	12836	328732	1184504.0
1900556	843328	12844	328736	1184908.0
1900556	843104	12844	328740	1184688.0
1900556	841884	12844	328740	1183468.0
1900556	841872	12844	328744	1183460.0
1900556	842356	12868	328744	1183968.0
1900556	810848	13124	329896	1153868.0
1900556	818012	13188	329864	1161064.0
1900556	819704	13244	329896	1162844.0
1900556	817852	13252	329896	1161000.0
1900556	817532	13332	329900	1160764.0
1900556	817116	13412	329900	1160428.0
1900556	817204	13420	329904	1160528.0
1900556	816576	13420	329912	1159908.0
1900556	815520	13420	329980	1158920.0
1900556	816984	13420	329980	1160384.0
1900556	817476	13476	329984	1160936.0
1900556	815476	13524	329996	1158996.0
1900556	815756	13532	329996	1159284.0
1900556	794264	13532	330000	1137796.0
1900556	781156	13672	332272	1127100.0
1900556	787664	13696	332284	1133644.0
1900556	808636	13712	332292	1154640.0
1900556	811048	13720	332300	1157068.0
1900556	810368	13720	332304	1156392.0
1900556	814728	13720	332308	1160756.0
1900556	812392	13720	332308	1158420.0
1900556	812660	13720	332312	1158692.0
1900556	812172	13720	332316	1158208.0
1900556	811664	13720	332320	1157704.0
1900556	809700	13736	332324	1155760.0
1900556	812752	13744	332324	1158820.0
1900556	810760	13752	332324	1156836.0
1900556	810620	13792	332312	1156724.0
1900556	809728	13800	332332	1155860.0
1900556	809496	13824	332332	1155652.0
1900556	808976	13856	332340	1155172.0
1900556	808532	13912	332340	1154784.0
1900556	809336	13920	332340	1155596.0
1900556	808832	13920	332344	1155096.0
1900556	807852	13920	332344	1154116.0
1900556	807700	13920	332344	1153964.0
1900556	807248	13928	332340	1153516.0
1900556	807896	13936	332336	1154168.0
1900556	803180	13944	332344	1149468.0
1900556	801552	13984	332548	1148084.0
1900556	800084	14008	332548	1146640.0
1900556	798556	14032	332548	1145136.0
1900556	797044	14072	332548	1143664.0
1900556	798512	14088	332544	1145144.0
1900556	795428	14104	332552	1142084.0
1900556	795840	14120	332552	1142512.0
1900556	793728	14144	332556	1140428.0
1900556	793104	14176	332548	1139828.0
1900556	791388	14176	332556	1138120.0
1900556	789700	14176	332556	1136432.0
1900556	788640	14184	332560	1135384.0
1900556	790060	14240	332560	1136860.0
1900556	784368	14264	332564	1131196.0
1900556	777420	14264	332568	1124252.0
