DalvikHeapPss	DalvikHeapSize	UsedDalvikHeap	FreeDalvikHeap	NativePssTotal	NativeHeapSize	UtilizationDalvik
39548	64990	49712	15278	9986	20480	0.764917679643022
43961	68698	59270	9428	13823	24576	0.862761652449853
49581	73527	70072	3455	14235	24576	0.9530104587430468
54573	82549	72176	10373	15951	24576	0.8743413003185987
64785	85309	84150	1159	18543	28672	0.9864140946441758
72032	91318	89325	1993	47305	73728	0.9781751680939136
71689	96683	87852	8831	59967	73728	0.9086602608524766
74693	103180	90710	12470	59051	77824	0.8791432448148866
77793	105109	94754	10355	44383	90112	0.901483222178881
77233	106337	91652	14685	45539	90112	0.8619013137478018
76425	106731	90844	15887	45507	90112	0.851149150668503
76433	106819	90468	16351	45587	90112	0.846927980977167
76437	106836	90771	16065	46919	90112	0.8496293384252499
76421	106815	90806	16009	51203	90112	0.8501240462481862
80897	106816	98827	7989	75991	98304	0.9252078340323547
81849	108830	92643	16187	75571	102400	0.8512634383901497
73329	101677	85652	16025	55943	102400	0.8423930682455226
73322	101677	85325	16352	55917	102400	0.8391770016817963
73229	101679	86054	15625	56091	102400	0.8463301173300288
73733	101743	86446	15297	56075	102400	0.8496505902125945
73429	101863	86885	14978	65031	102400	0.8529593669929219
73517	101921	86301	15620	58171	102400	0.8467440468598229
78733	101891	92373	9518	76251	106496	0.9065864502262221
78117	106323	90922	15401	79003	106496	0.8551489329684075
79133	106388	93271	13117	63271	106496	0.8767060194758808
78081	106418	90975	15443	58735	106496	0.8548835723279896
78357	106484	91457	15027	57951	106496	0.8588802073550956
78201	106546	91329	15217	57915	106496	0.8571790588102791
77801	106565	91006	15559	60303	106496	0.8539952141885234
79121	106573	94240	12333	80694	106496	0.884276505306222
73373	100794	84751	16043	80134	106496	0.8408337797884795
72573	100984	84642	16342	82146	106496	0.8381723837439594
73057	100860	85411	15449	81530	106496	0.8468272853460241
74156	100860	87909	12951	77902	106496	0.8715942891136228
73060	101791	85520	16271	77798	106496	0.8401528622373294
75004	103907	87440	16467	60790	106496	0.8415217454069505
74588	103501	87374	16127	60962	106496	0.844185080337388
75868	104671	88451	16220	67638	106496	0.8450382627470837
73712	102435	86140	16295	77242	106496	0.8409235124713232
73708	102414	86084	16330	77798	106496	0.8405491436717636
73692	102453	86120	16333	80130	110592	0.840580558890418
74524	103269	87039	16230	80254	110592	0.8428376376260058
74540	103259	87032	16227	80330	110592	0.8428514705739936
74528	103268	87091	16177	80442	110592	0.8433493434558624
74604	103263	87393	15870	80474	110592	0.8463147497167427
74540	103249	87016	16233	80494	110592	0.8427781382870536
74640	103297	87232	16065	80530	110592	0.8444775743729247
74524	103236	87012	16224	80514	110592	0.8428455190049983
74508	103229	87002	16227	80530	110592	0.842805800695541
74572	103306	86971	16335	80462	110592	0.8418775288947399
74576	103416	87139	16277	80606	110592	0.8426065599133596
74652	103332	87080	16252	80486	110592	0.8427205512329191
74588	103365	87033	16332	80558	110592	0.8419968074299812
75740	104640	88398	16242	80830	110592	0.8447821100917431
77112	104640	90223	14417	81158	110592	0.8622228593272171
76948	106106	89757	16349	81494	110592	0.8459182327106856
77048	106179	89827	16352	81226	110592	0.8459959125627479
77040	106190	89860	16330	81458	110592	0.8462190413409926
77024	106103	89754	16349	81406	110592	0.8459138761392232
77096	106103	90173	15930	81242	110592	0.8498628690988945
77008	106118	89778	16340	81258	110592	0.8460204677811493
77000	106082	89848	16234	81058	110592	0.846967440282046
77012	106190	89880	16310	81314	110592	0.8464073829927489
77032	106240	89960	16280	81470	110592	0.8467620481927711
77116	106365	90126	16239	81250	110592	0.8473275983641235
77020	106381	90053	16328	81394	110592	0.8465139451593799
77028	106305	89962	16343	80946	110592	0.8462631108602606
77116	106378	90378	16000	81118	110592	0.8495929609505725
77032	106378	90059	16319	81034	110592	0.8465942206095245
77024	106407	90311	16096	81302	110592	0.8487317563694118
77024	106279	90020	16259	81262	110592	0.8470158733145776
77092	106524	90384	16140	81242	110592	0.8484848484848485
77108	106509	90350	16159	81230	110592	0.8482851214451361
77096	106503	90158	16345	81322	110592	0.8465301446907599
77068	106537	90654	15883	82610	114688	0.8509156443301388
77048	106449	90246	16203	81806	114688	0.847786263844658
77452	106644	90976	15668	80958	114688	0.8530812797719516
78836	106644	94122	12522	61948	114688	0.8825812985259368
79716	110412	94118	16294	62044	114688	0.8524254610006159
79452	110637	95516	15121	62004	114688	0.8633278198071169
79120	110105	93762	16343	61520	114688	0.8515689569047727
78244	108022	91765	16257	61532	114688	0.8495028790431579
79384	108282	95079	13203	61908	114688	0.8780683770155705
82660	112220	96157	16063	62352	114688	0.8568615220103368
82380	111760	95423	16337	78972	114688	0.8538206871868289
79756	109931	93886	16045	81480	114688	0.8540448099262264
79880	110098	93849	16249	80880	114688	0.852413304510527
79520	109912	94141	15771	82388	114688	0.8565124827134435
81104	111624	95283	16341	62868	114688	0.8536067512362933
81488	112299	96043	16256	65220	114688	0.8552435907710665
81488	112272	95936	16336	65640	114688	0.8544962234573179
81444	112287	95937	16350	65640	114688	0.8543909802559513
81456	112287	96044	16243	65624	114688	0.8553438955533588
81456	112291	96053	16238	65624	114688	0.855393575620486
81452	112271	95918	16353	65480	114688	0.8543435081187484
81440	112352	96022	16330	63960	114688	0.8546532326972373
81420	112314	95978	16336	65036	114688	0.854550634827359
81340	112212	95861	16351	63900	114688	0.854284746729405
81364	112145	95841	16304	63648	114688	0.85461679076196
81344	112087	95737	16350	63356	114688	0.8541311659692917
81332	112085	95734	16351	63468	114688	0.8541196413436232
81324	112127	95775	16352	63532	114688	0.8541653660581305
81288	112066	95716	16350	63464	114688	0.8541038316706226
81300	112098	95780	16318	63592	114688	0.8544309443522632
81300	112069	95789	16280	63652	114688	0.8547323523900454
81296	112070	95733	16337	63612	114688	0.8542250379227269
81300	112106	95754	16352	63504	114688	0.8541380479189339
81308	112138	95792	16346	63436	114688	0.854233176978366
81328	112126	95784	16342	63172	114688	0.8542532508071277
81316	112127	95783	16344	62740	114688	0.8542367137263995
81312	112103	95754	16349	62232	114688	0.8541609055957468
81328	112098	95813	16285	62044	114688	0.8547253296222947
81296	112064	95798	16266	62044	114688	0.8548507995431183
81680	112066	97406	14660	62040	114688	0.8691842307211821
81708	112066	97587	14479	62096	114688	0.8707993503828101
81744	112066	97829	14237	62036	114688	0.8729587921403459
81784	112066	98135	13931	61960	114688	0.8756893259329324
81680	112066	97437	14629	62040	114688	0.8694608534256599
83044	112298	96280	16018	62532	114688	0.8573616627188374
81936	112066	98406	13660	62464	114688	0.8781075437688505
81140	111732	95379	16353	63168	114688	0.8536408549028032
81052	111642	95290	16352	63144	114688	0.8535318249404346
81040	111660	95307	16353	63204	114688	0.8535464803868887
82488	111643	95333	16310	62728	114688	0.8539093360085271
81124	111681	95797	15884	63396	114688	0.857773479821993
81208	111681	96549	15132	63048	114688	0.8645069438848147
81348	111681	95499	16182	64296	114688	0.8551051656056088
81228	111681	96581	15100	63060	114688	0.8647934742704668
81348	111681	95550	16131	64296	114688	0.8555618234077417
81292	111660	95340	16320	63516	114688	0.8538420204191295
81308	111707	95362	16345	63436	114688	0.8536797156847825
81324	111879	95538	16341	63056	114688	0.8539404177727724
81056	111825	95496	16329	64612	114688	0.8539771965124078
81104	111822	95663	16159	64388	114688	0.8554935522526873
81112	111832	95488	16344	64420	114688	0.8538522068817512
81096	111822	95624	16198	64552	114688	0.8551447836740534
81072	111729	95535	16194	64573	114688	0.855060011277287
81072	111729	95572	16157	64557	114688	0.855391169705269
81101	111729	95709	16020	64237	114688	0.8566173509115808
81077	111722	95374	16348	63357	114688	0.853672508548003
82147	113183	97305	15878	82511	114688	0.8597139146338231
82523	114028	97675	16353	64703	114688	0.8565878556144105
82755	114080	97772	16308	63439	114688	0.8570476858345021
82651	114095	97903	16192	66735	114688	0.8580831763004514
112147	139961	123808	16153	65423	114688	0.8845892784418516
113387	139961	123777	16184	65423	114688	0.8843677881695615
110319	139516	124330	15186	65731	114688	0.891152269273775
110611	141125	125100	16025	65679	114688	0.8864481842338352
110591	140376	124298	16078	66551	114688	0.8854647518094261
112805	143034	126714	16320	84413	118784	0.8859012542472419
112860	143343	127022	16321	68545	118784	0.8861402370537801
113894	143858	127562	16296	68339	118784	0.8867216282723241
114322	145779	129559	16220	90331	118784	0.8887356889538274
113778	145311	129757	15554	70459	118784	0.8929606155074289
113454	144972	128621	16351	102071	126976	0.8872127031426759
113454	144972	128756	16216	102243	126976	0.8881439174461275
113910	145457	130331	15126	72747	131072	0.8960105048227311
120270	151596	135362	16234	75023	135168	0.8929127417609963
118526	150231	133972	16259	74291	131072	0.891773335729643
120334	150285	133932	16353	75651	135168	0.8911867451841501
120794	151424	137069	14355	75747	135168	0.9051999683009299
119282	150527	134515	16012	76171	135168	0.8936270569399509
123674	152441	140323	12118	76231	135168	0.920506950229925
120834	152163	135936	16227	76415	135168	0.8933577808008517
125662	155932	141405	14527	76495	135168	0.906837595875125
124746	156303	139952	16351	76655	135168	0.8953890840226995
124690	156222	140199	16023	76655	135168	0.8974344202481085
124418	156592	140459	16133	77535	135168	0.8969743026463677
124830	156903	140630	16273	98239	135168	0.8962862405435206
134046	162449	146325	16124	80007	135168	0.900744233574845
135566	162449	146503	15946	79667	135168	0.9018399620804067
135110	160822	144572	16250	79591	135168	0.8989566104139981
136334	161974	145946	16028	79551	135168	0.9010458468643116
131422	161632	145279	16353	79303	135168	0.8988257275786973
131462	161771	145917	15854	79255	135168	0.9019972677426733
131650	160707	144356	16351	79983	135168	0.8982558320421636
130846	155112	138776	16336	77911	135168	0.8946825519624529
130166	154928	138576	16352	77951	135168	0.8944541980791078
130154	154983	138662	16321	77939	135168	0.8946916758612234
129558	154968	138627	16341	77887	135168	0.8945524237261886
132574	158852	142499	16353	77459	135168	0.8970551204895123
129546	156241	140046	16195	77314	135168	0.896346029531301
130422	156463	141137	15326	77434	135168	0.9020471293532656
128898	153495	137223	16272	77070	135168	0.8939900322486074
128930	153504	137174	16330	77998	135168	0.8936184073379195
131270	157611	141264	16347	77798	135168	0.8962826198679026
132562	157956	141604	16352	76614	135168	0.8964775000633087
129130	154685	138427	16258	77850	135168	0.8948960791285516
134346	159106	143287	15819	76914	135168	0.900575716817719
133562	160376	144032	16344	78046	139264	0.8980894896992069
133898	160476	144825	15651	79502	139264	0.9024713975921633
133418	160196	144203	15993	79366	139264	0.9001660465929237
132870	160365	144083	16282	78242	139264	0.8984691173260998
130910	158672	142322	16350	78386	139264	0.8969572451346173
129706	158696	142509	16187	78442	139264	0.8979999495891516
132582	161196	147057	14139	79902	139264	0.9122869053822675
133586	162641	147420	15221	100966	139264	0.906413511968077
131766	162632	146856	15776	79582	139264	0.9029957203994294
132358	162284	146195	16089	79074	139264	0.9008589879470558
133382	163077	147394	15683	80030	139264	0.9038307057402332
131998	162539	146457	16082	80078	139264	0.9010575923316866
131886	162212	145840	16372	85522	139264	0.8990703523783691
131766	162070	145718	16352	85594	139264	0.8991053248596286
131826	162082	146060	16022	86090	139264	0.9011488012240718
131826	162074	145827	16247	85458	139264	0.8997556671643817
131662	161979	145957	16022	85230	139264	0.9010859432395557
131686	161979	146092	15887	85322	139264	0.9019193846115855
131682	161979	146140	15839	85322	139264	0.9022157193216405
131682	161979	146234	15745	85330	139264	0.9027960414621649
131682	161979	146265	15714	85330	139264	0.9029874242957421
131682	161979	146171	15808	85322	139264	0.9024071021552177
131742	162077	145837	16240	85166	139264	0.8998007120072559
131682	161979	146202	15777	85330	139264	0.9025984849887948
135288	165867	149640	16227	107993	139264	0.9021686049666299
135216	165791	149780	16011	107013	139264	0.9034266033741276
135248	165782	149644	16138	105657	139264	0.9026552943021559
136052	165801	150513	15288	102357	139264	0.9077930772432012
136052	165801	150589	15212	102357	139264	0.9082514580732324
135608	165795	150768	15027	102433	139264	0.909363973581833
135736	165795	150977	14818	102509	139264	0.9106245664827045
136108	166218	150124	16094	85669	139264	0.9031753480369153
135264	165570	149217	16353	84993	139264	0.901232107265809
135292	165675	149377	16298	85037	139264	0.901626678738494
135260	165633	149390	16243	84893	139264	0.9019337933865836
135296	165698	149452	16246	85121	139264	0.9019541575637606
135164	165564	149659	15905	84865	139264	0.903934430190138
135164	165564	149691	15873	84865	139264	0.9041277089222295
135116	165576	149224	16352	85125	139264	0.9012417258539885
135116	165576	149255	16321	85233	139264	0.9014289510557085
135136	165593	149241	16352	84701	139264	0.901251864511181
135136	165593	149271	16322	84701	139264	0.9014330315894996
135132	165595	149311	16284	84821	139264	0.9016636975754099
136566	168228	152364	15864	85663	139264	0.9056994079463585
137698	166964	150698	16266	85427	139264	0.9025778012026545
137262	166986	150698	16288	84795	139264	0.9024588887691184
136454	166194	149844	16350	84771	139264	0.9016209971479114
136442	166248	150080	16168	84759	139264	0.9027477022279967
137570	167469	151348	16121	85647	139264	0.9037374081173232
139310	167595	155206	12389	86751	139264	0.9260777469494913
138174	167367	151090	16277	85063	139264	0.9027466585408115
138182	167379	151112	16267	85075	139264	0.9028133756325465
138194	167403	151125	16278	85091	139264	0.9027615992544936
138206	167422	151072	16350	85023	139264	0.9023425834119769
138206	167442	151183	16259	85087	139264	0.9028977198074557
138194	167398	151165	16233	85015	139264	0.9030275152630258
138206	167436	151311	16125	85247	139264	0.9036945459757758
138078	167370	151023	16347	85611	139264	0.9023301666965406
138142	167459	151160	16299	84983	139264	0.9026687129386894
136846	164413	148358	16055	85327	139264	0.9023495708976784
136802	164492	148144	16348	85471	139264	0.900615227488267
136818	164413	148275	16138	85375	139264	0.9018447446369813
136866	164413	148852	15561	85259	139264	0.9053541994854422
135734	164694	148343	16351	85267	139264	0.9007189090070069
135802	164647	148314	16333	85179	139264	0.900799893104642
135814	164652	148299	16353	84927	139264	0.9006814372130311
135746	164687	148595	16092	84499	139264	0.9022873693734175
137410	167715	151391	16324	85583	139264	0.9026682169156008
137354	167647	151295	16352	85487	139264	0.9024617201620071
138738	169670	153583	16087	87555	139264	0.9051865385748806
138746	169670	153655	16015	87547	139264	0.9056108917310073
138078	167930	152352	15578	85719	139264	0.9072351575061037
138270	169497	153284	16213	87487	139264	0.9043463896116155
138182	169380	153091	16289	87507	139264	0.9038316212067541
138226	169380	153336	16044	87515	139264	0.9052780729720156
138262	169439	153293	16146	87675	139264	0.9047090693405887
138186	169317	153115	16202	87455	139264	0.9043096676647945
138186	169317	153204	16113	87491	139264	0.9048353089175925
138286	169317	153648	15669	87043	139264	0.9074576091000903
138434	169317	153900	15417	87027	139264	0.9089459416361027
138502	169317	153261	16056	87043	139264	0.9051719555626428
138186	169317	153173	16144	87483	139264	0.904652220391337
138250	169317	153469	15848	87471	139264	0.9064004205130023
