MemTotal	MemFree	Buffers	Cached	RealFree
1900556	1012788	10616	327072	1350476.0
1900556	933896	11712	373616	1319224.0
1900556	921340	11924	376712	1309976.0
1900556	886764	12612	380920	1280296.0
1900556	865784	12840	381856	1260480.0
1900556	792568	13212	405532	1211312.0
1900556	745844	13344	424504	1183692.0
1900556	740316	13456	425056	1178828.0
1900556	734864	13736	444876	1193476.0
1900556	627440	13812	504792	1146044.0
1900556	597152	13844	531208	1142204.0
1900556	589396	13868	531672	1134936.0
1900556	589160	13912	541180	1144252.0
1900556	563476	14000	551636	1129112.0
1900556	516600	14248	570440	1101288.0
1900556	497616	14384	577364	1089364.0
1900556	567756	14440	566812	1149008.0
1900556	562968	14512	566576	1144056.0
1900556	558752	14580	567824	1141156.0
1900556	561100	14684	567840	1143624.0
1900556	524488	14772	576788	1116048.0
1900556	484696	14880	575576	1075152.0
1900556	528444	15056	565504	1109004.0
1900556	519372	15424	569360	1104156.0
1900556	530148	15468	571056	1116672.0
1900556	540572	15664	572440	1128676.0
1900556	499784	15720	584536	1100040.0
1900556	507708	15764	584968	1108440.0
1900556	494972	15824	586964	1097760.0
1900556	532988	15940	578424	1127352.0
1900556	532636	15988	581852	1130476.0
1900556	532064	16004	581844	1129912.0
1900556	538336	16180	581984	1136500.0
1900556	531712	16200	581984	1129896.0
1900556	524616	16224	582048	1122888.0
1900556	543912	16268	582180	1142360.0
1900556	549500	16276	582192	1147968.0
1900556	546020	16316	582192	1144528.0
1900556	505536	16332	582252	1104120.0
1900556	529512	16340	582252	1128104.0
1900556	520524	16340	582260	1119124.0
1900556	504964	16392	590676	1112032.0
1900556	516384	16400	590676	1123460.0
1900556	519896	16428	590696	1127020.0
1900556	515672	16436	590704	1122812.0
1900556	512148	16452	590696	1119296.0
1900556	518040	16476	590704	1125220.0
1900556	515060	16484	590704	1122248.0
1900556	507932	16484	590704	1115120.0
1900556	505676	16500	590704	1112880.0
1900556	516584	16524	590732	1123840.0
1900556	511248	16532	591944	1119724.0
1900556	505456	16532	591944	1113932.0
1900556	507632	16556	591952	1116140.0
1900556	506456	16580	591964	1115000.0
1900556	506144	16596	591972	1114712.0
1900556	501568	16608	592020	1110196.0
1900556	490704	16616	592024	1099344.0
1900556	493684	16636	592096	1102416.0
1900556	503028	16652	592096	1111776.0
1900556	497240	16660	592096	1105996.0
1900556	505420	16676	592096	1114192.0
1900556	498448	16700	592104	1107252.0
1900556	499832	16716	592108	1108656.0
1900556	491376	16732	592116	1100224.0
1900556	504040	16740	592116	1112896.0
1900556	504604	16748	592084	1113436.0
1900556	491336	16764	592084	1100184.0
1900556	463828	16780	592092	1072700.0
1900556	485952	16788	592092	1094832.0
1900556	493948	16812	592116	1102876.0
1900556	496916	16820	592132	1105868.0
1900556	491044	16820	592132	1099996.0
1900556	493020	16828	592132	1101980.0
1900556	474744	16892	603128	1094764.0
1900556	458064	16960	614604	1089628.0
1900556	469952	16968	614604	1101524.0
1900556	483272	16992	614696	1114960.0
1900556	493324	17072	614836	1125232.0
1900556	494036	17088	614844	1125968.0
1900556	488612	17296	622240	1128148.0
1900556	487604	17336	622456	1127396.0
1900556	482372	17368	622456	1122196.0
1900556	475196	17392	622472	1115060.0
1900556	456456	17600	624168	1098224.0
1900556	460444	17728	627312	1105484.0
1900556	456672	17768	629912	1104352.0
1900556	452048	17984	633684	1103716.0
1900556	577852	18144	532332	1128328.0
1900556	512752	18328	546216	1077296.0
1900556	473868	18352	548728	1040948.0
1900556	456148	18384	550612	1025144.0
1900556	463336	18448	551004	1032788.0
1900556	464052	18528	551024	1033604.0
1900556	456924	18584	551028	1026536.0
1900556	466260	18616	551040	1035916.0
1900556	468724	18672	551036	1038432.0
1900556	470032	18728	551048	1039808.0
1900556	469260	18776	551052	1039088.0
1900556	465696	18832	551048	1035576.0
1900556	460744	18888	551048	1030680.0
1900556	471888	18928	551060	1041876.0
1900556	474308	18960	551160	1044428.0
1900556	474516	19016	551192	1044724.0
1900556	473700	19064	551212	1043976.0
1900556	452092	19120	551208	1022420.0
1900556	471012	19160	551212	1041384.0
1900556	470668	19208	551220	1041096.0
1900556	468364	19256	551224	1038844.0
1900556	462352	19288	551196	1032836.0
1900556	472628	19352	551196	1043176.0
1900556	460084	19392	551200	1030676.0
1900556	460712	19424	551204	1031340.0
1900556	471544	19484	551216	1042244.0
1900556	469664	19540	551212	1040416.0
1900556	470568	19588	551220	1041376.0
1900556	467216	19644	551224	1038084.0
1900556	472732	19700	551244	1043676.0
1900556	469956	19760	551720	1041436.0
1900556	466752	19816	552308	1038876.0
1900556	484064	19920	552372	1056356.0
1900556	478304	19944	552924	1051172.0
1900556	449952	20016	555168	1025136.0
1900556	414780	20048	555288	990116.0
1900556	452248	20080	555388	1027716.0
1900556	456664	20088	555560	1032312.0
1900556	454276	20112	555572	1029960.0
1900556	427056	20128	555572	1002756.0
1900556	433860	20144	555572	1009576.0
1900556	450000	20192	556492	1026684.0
1900556	445368	20256	556508	1022132.0
1900556	441304	20304	556528	1018136.0
1900556	433292	20368	556524	1010184.0
1900556	455748	20408	556540	1032696.0
1900556	459548	20448	556480	1036476.0
1900556	458188	20496	556512	1035196.0
1900556	464804	20544	556520	1041868.0
1900556	462872	20592	556536	1040000.0
1900556	462092	20624	556540	1039256.0
1900556	450796	20704	563720	1035220.0
1900556	435924	20760	563760	1020444.0
1900556	434616	20808	563840	1019264.0
1900556	433360	20864	564352	1018576.0
1900556	437236	20928	564744	1022908.0
1900556	461064	20992	556756	1038812.0
1900556	438840	21032	556892	1016764.0
1900556	444460	21052	561380	1026892.0
1900556	439108	21092	561600	1021800.0
1900556	438156	21156	561620	1020932.0
1900556	422980	21244	568004	1012228.0
1900556	415244	21284	568028	1004556.0
1900556	419012	21340	568052	1008404.0
1900556	436700	21396	561692	1019788.0
1900556	418256	21428	561776	1001460.0
1900556	413404	21452	561796	996652.0
1900556	430636	21468	561804	1013908.0
1900556	484664	21584	554116	1060364.0
1900556	484668	21604	554156	1060428.0
1900556	493456	21656	553048	1068160.0
1900556	502044	21688	553448	1077180.0
1900556	496120	21720	553528	1071368.0
1900556	453876	21800	562300	1037976.0
1900556	489872	21864	562340	1074076.0
1900556	451000	21880	562148	1035028.0
1900556	446484	21896	562148	1030528.0
1900556	447456	21912	562160	1031528.0
1900556	438568	21992	568804	1029364.0
1900556	420208	22176	576196	1018580.0
1900556	441180	22232	576276	1039688.0
1900556	449624	22384	575084	1047092.0
1900556	449056	22444	575344	1046844.0
1900556	443996	22468	575864	1042328.0
1900556	435156	22556	577408	1035120.0
1900556	440288	22580	577852	1040720.0
1900556	403400	22652	585888	1011940.0
1900556	401348	22828	587648	1011824.0
1900556	400232	22916	587760	1010908.0
1900556	397752	22924	591024	1011700.0
1900556	344420	22980	605472	972872.0
1900556	356052	23020	605204	984276.0
1900556	352392	23052	606848	982292.0
1900556	371012	23108	609680	1003800.0
1900556	364284	23144	609440	996868.0
1900556	362120	23152	609448	994720.0
1900556	363256	23192	609572	996020.0
1900556	344200	23240	613300	980740.0
1900556	347544	23308	618040	988892.0
1900556	332004	23340	625908	981252.0
1900556	321876	23348	629948	975172.0
1900556	322564	23364	631876	977804.0
1900556	310716	23372	632720	966808.0
1900556	300636	23388	633020	957044.0
1900556	278288	23424	635644	937356.0
1900556	286732	23492	642464	952688.0
1900556	283700	23500	642348	949548.0
1900556	258328	23600	652280	934208.0
1900556	295620	23608	641920	961148.0
1900556	285120	23632	642016	950768.0
1900556	293244	23664	642000	958908.0
1900556	315772	23672	642000	981444.0
1900556	322212	23716	642068	987996.0
1900556	310156	23732	642220	976108.0
1900556	307584	23732	642220	973536.0
1900556	272824	23784	645420	942028.0
1900556	286652	23808	645576	956036.0
1900556	283660	23816	645680	953156.0
1900556	283420	23848	645768	953036.0
1900556	277880	23880	645760	947520.0
1900556	283812	23896	645836	953544.0
1900556	302092	23912	645980	971984.0
1900556	305664	23944	646160	975768.0
1900556	298124	23976	645072	967172.0
1900556	290084	24052	645464	959600.0
1900556	271916	24108	644948	940972.0
1900556	290004	24124	644920	959048.0
1900556	294092	24292	645204	963588.0
1900556	247916	24480	659876	932272.0
1900556	250268	24504	659992	934764.0
1900556	252368	24544	662540	939452.0
1900556	232828	24568	667432	924828.0
1900556	263236	24752	667480	955468.0
1900556	241108	24848	672364	938320.0
1900556	243980	24872	672536	941388.0
1900556	232700	24932	673328	930960.0
1900556	210164	24948	673844	908956.0
1900556	261836	25020	661228	948084.0
1900556	224708	25080	670248	920036.0
1900556	211668	25120	676948	913736.0
1900556	230876	25136	677052	933064.0
1900556	222680	25152	677052	924884.0
1900556	221168	25152	677100	923420.0
