DalvikHeapPss	DalvikHeapSize	UsedDalvikHeap	FreeDalvikHeap	NativePssTotal	NativeHeapSize	UtilizationDalvik
19812	42447	34291	8156	8830	20480	0.8078545009070135
32184	40822	40822	0	11777	24576	1.0
36828	45394	42264	3130	13189	24576	0.9310481561439838
29516	53475	44120	9355	13537	28672	0.8250584385226741
28868	53511	43383	10128	13653	28672	0.8107305040085216
30411	54850	40627	14223	14350	28672	0.7406927985414767
30747	55362	39548	15814	15026	28672	0.7143528051732235
30567	56624	40379	16245	15220	28672	0.7131075162475276
30739	56602	43733	12869	15120	28672	0.7726405427370058
33607	56602	48564	8038	15120	28672	0.8579908837143564
37175	56788	41943	14845	15208	28672	0.738589138550398
37255	57001	41629	15372	16020	28672	0.7303205206926194
35067	59828	43749	16079	17456	28672	0.7312462392190947
36327	59796	48871	10925	17864	32768	0.8172954712689812
36211	60685	47841	12844	17912	32768	0.7883496745489
37903	61682	50131	11551	20108	32768	0.8127330501605007
45867	62133	60812	1321	19974	32768	0.978739156325946
44795	62224	59593	2631	20162	32768	0.9577172795062998
41159	62628	55287	7341	20866	32768	0.8827840582487066
41499	62772	55882	6890	20814	32768	0.8902376855923023
48147	57532	52852	4680	21586	32768	0.9186539664882153
50295	71310	59650	11660	21794	32768	0.8364885710279063
64275	81930	76854	5076	22922	40960	0.9380446722812157
66539	88729	72804	15925	23942	40960	0.8205209119904429
66487	89487	75989	13498	24626	40960	0.8491624481768302
75823	98909	85759	13150	28437	45056	0.8670495101557998
75835	99257	84284	14973	28633	45056	0.8491491783954784
76043	98983	84300	14683	28829	49152	0.8516613964014023
80239	100578	90421	10157	30285	49152	0.8990137008093221
82493	102804	94958	7846	30602	49152	0.9236800124508774
80313	103839	88855	14984	29959	49152	0.8556996889415345
79039	102161	87077	15084	29497	49152	0.8523507013439571
86635	101800	101439	361	31493	49152	0.9964538310412574
81930	104362	93449	10913	31525	49152	0.8954312872501485
83522	104349	97411	6938	32537	53248	0.9335115813280433
86734	104487	100843	3644	32977	53248	0.9651248480672237
82558	104598	94565	10033	32953	53248	0.9040803839461558
82770	104803	94367	10436	32761	53248	0.9004226978235356
86074	104799	100376	4423	32221	53248	0.9577953988110574
83918	104804	97207	7597	32565	53248	0.927512308690508
82610	104591	89129	15462	31505	53248	0.8521670124580509
87830	104654	102151	2503	37413	57344	0.9760830928583714
85574	107185	98976	8209	37197	57344	0.9234127909688856
85434	107412	98450	8962	38997	61440	0.9165642572524485
85534	107274	97639	9635	38157	61440	0.9101832690120626
87854	107315	101740	5575	37673	61440	0.9480501327866561
87602	107375	101564	5811	39025	61440	0.9458812572759022
86498	107837	100402	7435	38857	61440	0.9310533490360452
85794	107893	95806	12087	38857	61440	0.8879723429694234
86142	107879	99051	8828	38869	61440	0.9181675766367875
85506	107909	92021	15888	38725	61440	0.8527648296249618
85446	107773	91754	16019	39061	61440	0.8513635140526848
85478	107635	92261	15374	37741	61440	0.8571654201700191
85586	107768	93019	14749	37917	61440	0.8631411921906317
86122	108061	94315	13746	38341	61440	0.8727940700160095
85830	108457	92671	15786	39389	61440	0.8544492287265921
88398	108373	102806	5567	40777	61440	0.9486311166065349
85606	108090	92259	15831	40193	61440	0.8535387177352206
85670	107448	92076	15372	39609	61440	0.8569354478445388
85146	107475	91361	16114	40077	61440	0.8500674575482671
85230	107486	91806	15680	40165	61440	0.854120536628026
85170	107501	91526	15975	40469	61440	0.8513967311931983
85222	107537	91659	15878	40365	61440	0.852348494006714
85862	107506	95034	12472	41329	61440	0.8839878704444403
85498	108063	92265	15798	40841	61440	0.8538075011798673
85442	108060	91989	16071	41161	61440	0.8512770682953914
86150	108083	95357	12726	43105	65536	0.8822571542240686
85798	108646	93081	15565	42561	65536	0.856736557259356
85682	108656	92795	15861	42373	65536	0.8540255485201002
85730	108665	93421	15244	42601	65536	0.8597156398104265
85762	108730	93180	15550	42373	65536	0.8569851926791134
85646	108749	92910	15839	42733	65536	0.8543526837028387
85550	108662	92552	16110	42917	65536	0.85174209935396
85590	108677	92852	15825	42997	65536	0.8543850124681396
85614	108698	93425	15273	42901	65536	0.8594914349850044
85538	108689	92624	16065	42957	65536	0.8521929542087976
85594	108702	93156	15546	42969	65536	0.8569851520671192
85570	108764	92943	15821	42889	65536	0.8545382663381266
85630	108726	93469	15257	42485	65536	0.8596747788017586
85614	108737	93250	15487	42641	65536	0.8575737789344933
