Vss	Rss	Pss	Uss
1650200	108176	62384	57792
1704848	129076	82554	77708
1709208	136344	89795	84932
1711524	136832	90281	85416
1713316	137948	91326	86500
1718148	142012	95242	90340
1717804	142572	95802	90900
1724368	137768	90998	86096
1749752	149752	102923	97976
1756628	161836	114677	109612
1757632	163096	115937	110872
1760104	169228	121091	115540
1760120	165600	117458	111904
1754656	162264	114122	108568
1751116	163608	115455	109892
1757460	165864	117703	112136
1755732	171408	123235	117660
1723804	171616	122853	116976
1726728	172244	123481	117604
1730076	171824	122948	117184
1750664	178356	129480	123716
1750932	176068	127189	121428
1767900	184996	136093	130332
1768772	188576	139692	133932
1770008	189268	140377	134612
1766580	192980	144087	138320
1768300	197032	148127	142356
1789368	200572	151680	145912
1801628	201624	152689	146916
1809860	213928	164976	159196
1810992	209280	160352	154580
1812052	210980	162047	156268
1816876	215036	166105	160320
1775712	213536	164645	158876
1777672	213060	164168	158400
1777464	214096	165102	159296
1781244	213732	164741	158928
1777296	217252	168279	162476
1791820	217596	168620	162816
2104920	240900	191909	186096
2112232	240592	191601	185788
2112232	246596	197605	191792
2111176	246100	197109	191296
2147820	255036	202889	194816
2146552	257824	205677	197604
2146660	255424	203277	195204
2116484	254440	203441	195780
2116484	253772	202773	195112
2116484	253472	202473	194812
2114276	253884	202885	195224
2112164	253284	202285	194624
2111108	252144	201145	193484
2113660	252012	201013	193352
2110624	250524	199525	191864
2080708	251704	200694	193028
2079040	251976	200966	193300
2084148	252176	201166	193500
2089216	249120	198110	190444
2089872	248820	197810	190144
2089820	249896	198885	191220
2091516	251260	200250	192584
2088664	247752	196741	189076
2088552	249456	198446	190780
2090224	248152	197141	189476
2184204	291928	240330	232216
2186088	293828	242229	234116
2185724	293632	242033	233920
2186780	295444	243845	235732
2186076	294572	242973	234860
2184060	293844	242245	234132
2183004	294416	242817	234704
2186736	293652	242053	233940
2185248	291416	239817	231704
2208936	294212	242581	234464
2209368	296624	244939	236824
2217892	297228	245543	237424
2211692	297420	245740	237620
2223660	302660	249684	241436
2216860	301404	249703	241576
2216128	300572	248876	240752
2217660	300880	249192	241064
2214332	300776	249138	241012
2225304	311952	260020	251636
2233960	312192	260165	251744
2182680	286384	234365	225960
2179876	288140	236111	227696
2170636	275900	223958	215552
2168248	277128	225185	216780
2167208	277324	225381	216976
2165096	276084	224141	215736
2165140	275008	223065	214660
2164140	276296	224308	215884
2176424	278484	226533	218120
2141104	281116	229111	220660
2139880	280836	228831	220380
2151496	281900	229895	221444
2188864	288144	236060	227592
2191776	288832	236752	228300
2192236	286684	234592	226140
2197964	291696	239614	231160
2207960	294312	242057	233548
2205996	302832	250598	242084
2209948	308420	256181	247656
2223532	309184	256938	248412
2250732	329368	277009	268424
2256188	325888	273554	264980
2266108	335696	283357	274780
2265980	337808	285489	276916
2263496	337988	285668	277096
2264208	338852	286518	277944
2265640	339684	287334	278760
2221112	314436	262089	253512
2222660	316548	264210	255632
2236600	319940	266581	257904
2230960	317572	265310	256736
2229904	317700	265438	256864
2230668	320932	268670	260096
2218696	320840	268549	259968
2179244	320240	267955	259376
2191840	320716	268348	259736
2193160	317488	264974	256192
2179020	304276	251594	242628
2171848	309000	256303	247336
2195140	316008	263314	254344
2257284	341252	287311	277884
2265528	356732	302678	293164
2239564	364844	311958	302860
2246508	370960	318032	308876
2245456	372196	319267	310112
2201588	346312	293290	284092
2204680	348172	295152	285952
2224700	350496	297470	288260
2238892	355676	302649	293448
2274372	382152	329169	319964
2256020	360844	307873	298672
2234544	360700	307729	298528
2260108	368304	315331	306128
2238952	368584	315611	306408
2278524	385516	332537	323332
2284788	369468	316497	307292
2289772	380416	327580	318508
2289244	380468	327627	318552
2293620	381856	329015	319940
2296728	386972	334131	325056
2295248	386408	333567	324492
2295908	387044	334203	325128
2287460	386724	333879	324804
2289888	391008	338159	329084
2317916	395548	342746	333064
2307992	393564	341214	331640
