DalvikHeapPss	DalvikHeapSize	UsedDalvikHeap	FreeDalvikHeap	NativePssTotal	NativeHeapSize	UtilizationDalvik
22476	42180	37227	4953	9546	16384	0.882574679943101
38756	53757	43947	9810	12465	24576	0.8175121379541269
42068	50783	46244	4539	14333	28672	0.9106196955674143
44828	51497	48344	3153	14505	28672	0.9387731324154805
40632	59634	52379	7255	14541	28672	0.8783412147432673
35876	59726	45916	13810	14578	28672	0.7687774168703747
36212	59802	48825	10977	14754	28672	0.8164442660780576
37236	60117	49213	10904	16266	28672	0.818620356970574
36480	61116	45665	15451	16062	28672	0.7471856796910793
35852	60277	44517	15760	16030	28672	0.7385404051296515
36400	60317	45252	15065	16550	28672	0.7502362518029743
40195	61185	52752	8433	18294	28672	0.8621721010051483
49051	56476	48631	7845	18618	28672	0.8610914370706141
50987	65811	65400	411	20610	32768	0.9937548434152346
46759	69041	60137	8904	20374	36864	0.8710331542127142
47067	69150	55934	13216	20622	36864	0.8088792480115691
46639	70117	54759	15358	20798	36864	0.7809660995193748
46299	70151	53996	16155	20822	36864	0.769711051873815
46387	70165	54867	15298	21046	36864	0.7819710681963942
46275	70239	54104	16135	20690	36864	0.7702843149817054
46279	70200	54087	16113	20702	36864	0.7704700854700854
49327	70227	61085	9142	26162	40960	0.8698221481766272
47711	71862	55811	16051	24894	40960	0.7766413403467758
51255	71268	65113	6155	26070	40960	0.9136358533984397
52027	73696	63687	10009	27982	45056	0.8641853017802866
53503	76024	66445	9579	28813	45056	0.8740003156897822
52155	76525	60742	15783	29073	45056	0.7937536752695198
54203	76553	68102	8451	29649	49152	0.8896058939558215
54327	77454	66120	11334	33573	57344	0.8536679835773492
53687	77945	62831	15114	34345	57344	0.806094040669703
53623	77977	62577	15400	34321	57344	0.802505867114662
53907	77985	63820	14165	34033	57344	0.8183625056100532
53451	77807	61790	16017	34329	57344	0.7941444857146529
53495	77829	62068	15761	33753	57344	0.7974919374526205
53471	77811	61956	15855	33729	57344	0.7962370358946679
60787	77833	70006	7827	35149	57344	0.8994385414926831
56443	80961	65047	15914	34841	57344	0.8034362223786762
58307	82851	66766	16085	34725	57344	0.8058562962426524
58319	82870	66905	15965	34597	57344	0.8073488596597079
58519	82886	68247	14639	34845	57344	0.823383924908911
58403	82935	67450	15485	34733	57344	0.8132875143184422
58435	82932	66964	15968	34749	57344	0.8074567115226933
58327	82999	67039	15960	34821	57344	0.8077085266087544
58315	83015	66940	16075	34805	57344	0.8063602963319882
58399	83030	67519	15511	34937	57344	0.8131880043357822
58463	83054	67679	15375	34937	57344	0.8148794760035639
58383	83066	67158	15908	34901	57344	0.8084896347482725
58375	83089	67139	15950	34821	57344	0.8080371649676853
58351	83104	66951	16153	34773	57344	0.8056290912591452
58375	83127	67141	15986	34809	57344	0.8076918450082404
58523	83142	68011	15131	34917	57344	0.8180101513074018
58483	83174	67703	15471	34857	57344	0.8139923533796619
58439	83197	67292	15905	34861	57344	0.8088272413668762
58435	83181	67393	15788	34881	57344	0.8101970401894664
58363	83204	67123	16081	34749	57344	0.8067280419210615
58395	83220	67140	16080	34657	57344	0.8067772170151406
58367	83245	67101	16144	34581	57344	0.8060664304162413
63307	78376	72270	6106	35105	57344	0.9220934980095947
58403	83253	67295	15958	34897	57344	0.8083192197278176
58531	83255	68062	15193	35017	57344	0.8175124617140112
58547	83305	68054	15251	34993	57344	0.8169257547566172
58439	83325	67416	15909	35001	57344	0.8090729072907291
58451	83341	67414	15927	34969	57344	0.8088935817904753
58427	83366	67373	15993	35033	57344	0.8081592015929756
58439	83380	67386	15994	35065	57344	0.808179419525066
58519	83396	67822	15574	35017	57344	0.8132524341695045
58415	83368	67259	16109	34937	57344	0.8067723826888015
58547	83380	68120	15260	35025	57344	0.8169824898057088
58551	83410	68045	15365	34913	57344	0.8157894736842105
58431	83413	67279	16134	34881	57344	0.8065769124716771
58447	83437	67354	16083	34953	57344	0.8072437887268238
58619	83452	68331	15121	34925	57344	0.8188060202271965
58451	83476	67391	16085	35009	57344	0.807309885476065
58439	83499	67368	16131	34981	57344	0.8068120576294326
58579	83515	68209	15306	35037	57344	0.8167275339759325
68847	83591	79499	4092	36101	57344	0.9510473615580625
63675	88778	72877	15901	35749	57344	0.8208903106625516
64155	89315	73372	15943	35549	57344	0.8214969490007278
63699	88828	72973	15855	35453	57344	0.8215089836538029
63695	88843	73112	15731	35469	57344	0.8229348401112074
63723	88894	72921	15973	35613	57344	0.8203140819402884
63863	88951	73563	15388	35673	57344	0.8270058796416004
63779	88954	73005	15949	35401	57344	0.820705083526317
63811	88973	73324	15649	35517	57344	0.8241151810099693
63871	88941	72870	16071	35417	57344	0.819307181165042
63711	88965	72878	16087	35425	57344	0.819176080481088
63715	88978	72861	16117	35485	57344	0.8188653374991571
63799	89001	73437	15564	35557	57344	0.8251255603869619
63771	89069	73101	15968	35413	57344	0.8207232594954473
63791	89064	73346	15718	35573	57344	0.8235201652744094
63707	89079	73015	16064	35569	57344	0.8196656900055007
63795	89096	73578	15518	35529	57344	0.8258283200143666
63739	89117	73154	15963	35585	57344	0.8208759271519463
63703	89133	73015	16118	35465	57344	0.8191691068403397
63811	89157	73483	15674	35501	57344	0.8241977634958556
58983	84317	68758	15559	35425	57344	0.8154701898786721
58715	84052	68190	15862	35465	57344	0.8112834911721315
58687	84068	67998	16070	35389	57344	0.8088452205357568
58695	84081	68014	16067	35381	57344	0.8089104553942033
58703	84108	68024	16084	35349	57344	0.8087696770818471
58835	84089	68733	15356	35401	57344	0.8173839622304939
58739	84146	68146	16000	35493	57344	0.8098543008580324
58739	84162	68165	15997	35437	57344	0.8099260949121931
58731	84187	68196	15991	35453	57344	0.8100538087828287
58791	84203	68197	16006	35449	57344	0.8099117608636272
58755	84222	68161	16061	35433	57344	0.8093016076559568
58903	84241	69008	15233	35465	57344	0.8191735615674078
58839	84262	68498	15764	35565	57344	0.8129168545726425
58795	84280	68224	16056	35449	57344	0.8094921689606075
58791	84296	68283	16013	35437	57344	0.8100384359874727
58827	84319	68383	15936	35569	57344	0.8110034511794495
58767	84334	68264	16070	35509	57344	0.8094481466549671
58759	84350	68335	16015	35457	57344	0.8101363366923533
58735	84339	68310	16029	35477	57344	0.8099455767794259
58839	84355	68808	15547	35513	57344	0.8156955722838006
58859	84400	68430	15970	35545	57344	0.810781990521327
58851	84416	68796	15620	35633	57344	0.8149639878695982
58803	84440	68713	15727	35633	57344	0.8137494078635717
58771	84455	68464	15991	35497	57344	0.8106565626665088
58791	84472	68592	15880	35505	57344	0.8120087129463017
58899	84494	69123	15371	35805	57344	0.8180817572845409
58875	84564	68839	15725	35617	57344	0.8140461662173029
58819	84561	68475	16086	35693	57344	0.8097704615602938
58829	84576	68660	15916	35646	57344	0.8118142262580401
58911	84601	68904	15697	35649	57344	0.8144584579378494
58859	84616	68709	15907	35665	57344	0.8120095490214616
58955	84631	69289	15342	35681	57344	0.8187189091467666
58863	84599	68892	15707	35833	57344	0.8143358668542181
58847	84614	68616	15998	35797	57344	0.810929633394001
58871	84637	68782	15855	35705	57344	0.8126705814241998
58839	84673	68968	15705	35653	57344	0.8145217483731532
58859	84677	68721	15956	35609	57344	0.8115663048997956
58875	84704	68731	15973	35629	57344	0.8114256705704571
58859	84701	68718	15983	35593	57344	0.8113009291507775
58951	84726	69055	15671	35565	57344	0.8150390671104502
58871	84744	68684	16060	35641	57344	0.8104880581516095
58899	84767	68834	15933	35573	57344	0.8120377033515401
59079	84782	69474	15308	35681	57344	0.8194428062560449
58995	84833	69009	15824	35661	57344	0.8134688152016314
59031	84856	69260	15596	35713	57344	0.8162062788724427
59055	84871	69275	15596	35781	57344	0.8162387623569889
58991	84895	68901	15994	35757	57344	0.8116025678779669
59011	84910	69102	15808	35769	57344	0.8138264044282181
59059	84933	69397	15536	35825	57344	0.8170793448953881
58983	84949	68958	15991	35713	57344	0.8117576428209867
59151	84965	69682	15283	35805	57344	0.8201259342082033
59023	85004	68969	16035	35761	57344	0.8113618182673756
59007	85020	68911	16109	35733	57344	0.8105269348388614
59019	85046	69062	15984	35841	57344	0.8120546527761446
59171	85059	69594	15465	35829	57344	0.8181850245123973
59015	85083	68993	16090	35901	57344	0.810890542176463
59039	85098	69076	16022	35805	57344	0.8117229547110391
59023	85113	68985	16128	35781	57344	0.8105107327905255
59235	85137	69793	15344	35849	57344	0.8197728367219893
59095	85153	69094	16059	35905	57344	0.8114100501450331
59119	85176	69322	15854	35857	57344	0.8138677561754485
59219	85187	69551	15636	35889	57344	0.8164508669163135
59139	85211	69226	15985	35813	57344	0.812406848881013
59119	85226	69145	16081	35901	57344	0.8113134489475042
59167	85248	69316	15932	35849	57344	0.813109984984985
59219	85263	69448	15815	35805	57344	0.8145150886081888
59403	85278	70148	15130	35925	57344	0.8225802668918126
59159	85272	69217	16055	35925	57344	0.8117201426024956
59323	85288	69875	15413	35997	57344	0.8192829002907794
59251	85334	69408	15926	35957	57344	0.8133686455574566
59343	85347	69903	15444	35913	57344	0.8190446061372983
59331	85375	69673	15702	35905	57344	0.816081991215227
59291	85401	69617	15784	35941	57344	0.8151778082223862
59444	85414	69400	16014	35982	57344	0.812513171142904
59534	85437	69423	16014	35997	57344	0.8125636433863549
