DalvikHeapPss	DalvikHeapSize	UsedDalvikHeap	FreeDalvikHeap	NativePssTotal	NativeHeapSize	UtilizationDalvik
46186	65777	55510	10267	11898	24576	0.8439120057162838
49596	65777	64860	917	13947	24576	0.9860589567782051
38498	72835	61315	11520	9533	28672	0.8418342829683532
56016	84194	68168	16026	17280	28672	0.8096538945768107
57472	86296	70176	16120	18437	28672	0.8132010753684992
64532	93408	78945	14463	20105	32768	0.8451631551901336
76076	103611	87883	15728	66180	94208	0.8482014457924352
72572	93408	89328	4080	22552	32768	0.9563206577595067
76116	103611	88087	15524	66612	94208	0.8501703487081488
73629	100268	84138	16130	68147	94208	0.8391311285754178
71468	98029	82124	15905	67860	94208	0.8377520937681706
73789	100036	83716	16320	67791	94208	0.8368587308568916
71833	99133	82783	16350	67303	94208	0.8350700573976375
75377	100280	90195	10085	35423	94208	0.8994315915436777
81928	105024	93987	11037	36384	94208	0.8949097349177331
78340	106523	90307	16216	69612	98304	0.8477699651718408
78364	106523	90578	15945	69148	98304	0.850314016691231
82668	106485	95884	10601	37520	98304	0.9004460722167441
80728	109088	92739	16349	69300	98304	0.8501301701378703
80764	109086	92741	16345	70096	98304	0.8501640907174156
80940	109605	93334	16271	69512	98304	0.8515487432142694
80828	109273	93465	15808	69896	98304	0.8553348036568961
85404	109273	98850	10423	38292	98304	0.9046150467178534
80836	109439	93087	16352	70164	102400	0.8505834300386517
80836	109439	93151	16288	70176	102400	0.8511682307038624
80684	108820	93931	14889	53356	102400	0.8631777246829627
85596	113636	97377	16259	53076	102400	0.8569203421450948
89300	117555	102470	15085	56772	102400	0.8716770873208286
86760	115897	99645	16252	62136	102400	0.8597720389656333
89532	117900	102061	15839	70652	102400	0.8656573367260391
89540	118048	101696	16352	71404	102400	0.8614800759013282
93456	117974	101627	16347	71540	102400	0.8614355705494431
89280	118404	101763	16641	38984	102400	0.8594557616296746
89452	118443	102098	16345	54140	102400	0.8620011313458794
89240	118450	102246	16204	54340	102400	0.86319966230477
89272	118450	102367	16083	54300	102400	0.8642211903756859
95988	120428	104094	16334	57720	102400	0.8643670907098017
93648	122822	106477	16345	57780	102400	0.8669212356092557
