MemTotal	MemFree	Buffers	Cached	RealFree
1900556	941024	11584	334556	1287164.0
1900556	918772	11816	336928	1267516.0
1900556	906832	11936	339468	1258236.0
1900556	890852	12340	342172	1245364.0
1900556	838292	12516	380920	1231728.0
1900556	809664	12700	384724	1207088.0
1900556	774520	12816	384932	1172268.0
1900556	710148	13120	410292	1133560.0
1900556	705472	13132	410292	1128896.0
1900556	704700	13156	414396	1132252.0
1900556	702424	13180	414396	1130000.0
1900556	694676	13204	418596	1126476.0
1900556	691860	13220	418600	1123680.0
1900556	692596	13284	419724	1125604.0
1900556	688504	13328	423900	1125732.0
1900556	684988	13340	424020	1122348.0
1900556	681636	13348	426068	1121052.0
1900556	717948	13372	426112	1157432.0
1900556	692256	13412	430372	1136040.0
1900556	684488	13484	438680	1136652.0
1900556	717132	13672	438852	1169656.0
1900556	679060	13728	447296	1140084.0
1900556	650604	13736	447296	1111636.0
1900556	678536	13752	447364	1139652.0
1900556	674068	13776	449408	1137252.0
1900556	660296	13784	451468	1125548.0
1900556	669548	13784	451468	1134800.0
1900556	691200	13824	455568	1160592.0
1900556	651356	13880	463960	1129196.0
1900556	657888	13888	463984	1135760.0
1900556	647752	13912	463992	1125656.0
1900556	658164	13920	464000	1136084.0
1900556	662072	14032	466204	1142308.0
1900556	637984	14064	474644	1126692.0
1900556	653212	14088	474624	1141924.0
1900556	633292	14112	476712	1124116.0
1900556	627628	14144	476800	1118572.0
1900556	658588	14160	476968	1149716.0
1900556	641240	14232	485288	1140760.0
1900556	620336	14280	493584	1128200.0
1900556	621808	14368	499976	1136152.0
1900556	628648	14388	499968	1143004.0
1900556	608348	14412	506356	1129116.0
1900556	607728	14436	506356	1128520.0
1900556	606580	14436	506364	1127380.0
1900556	600924	14452	506356	1121732.0
1900556	603876	14460	506464	1124800.0
1900556	588960	14544	516056	1119560.0
1900556	576692	14568	516064	1107324.0
1900556	571916	14584	516064	1102564.0
1900556	583720	14600	516068	1114388.0
1900556	585768	14608	516088	1116464.0
1900556	621004	14640	516224	1151868.0
1900556	599080	14688	524464	1138232.0
1900556	599028	14696	524464	1138188.0
1900556	572652	14712	524456	1111820.0
1900556	599332	14728	524444	1138504.0
1900556	579496	14796	532844	1127136.0
1900556	577484	14836	533080	1125400.0
1900556	567868	14844	533076	1115788.0
1900556	574044	14852	533076	1121972.0
1900556	581852	14872	533056	1129780.0
1900556	562380	14960	541324	1118664.0
1900556	549696	14968	541396	1106060.0
1900556	501804	14992	541432	1058228.0
1900556	469204	15008	541424	1025636.0
1900556	445300	15016	541424	1001740.0
1900556	415828	15016	541440	972284.0
1900556	521872	15056	549768	1086696.0
1900556	522812	15072	549776	1087660.0
1900556	523032	15096	549784	1087912.0
1900556	516412	15120	553892	1085424.0
1900556	518572	15128	553892	1087592.0
1900556	517480	15136	553892	1086508.0
1900556	518568	15152	553892	1087612.0
1900556	511084	15160	553900	1080144.0
1900556	514660	15192	557992	1087844.0
1900556	507648	15216	562168	1085032.0
1900556	502472	15224	562168	1079864.0
1900556	499676	15232	562168	1077076.0
1900556	541604	15232	562168	1119004.0
1900556	536152	15264	562244	1113660.0
1900556	500112	15292	562760	1078164.0
1900556	435468	15336	562868	1013672.0
1900556	407376	15352	562868	985596.0
1900556	378744	15360	562868	956972.0
1900556	459364	15360	562868	1037592.0
1900556	457136	15368	562876	1035380.0
1900556	467756	15376	562876	1046008.0
1900556	443684	15520	571120	1030324.0
1900556	439520	15536	571128	1026184.0
1900556	444436	15560	575232	1035228.0
1900556	448756	15576	575232	1039564.0
1900556	452340	15584	575232	1043156.0
1900556	458332	15592	575232	1049156.0
1900556	456372	15600	575232	1047204.0
1900556	474084	15616	575220	1064920.0
1900556	416872	15656	583584	1016112.0
1900556	450964	15664	583584	1050212.0
1900556	473496	15680	583660	1072836.0
1900556	439004	15716	591888	1046608.0
1900556	434972	15724	591900	1042596.0
1900556	430380	15740	591932	1038052.0
1900556	461192	15760	591956	1068908.0
1900556	434336	15784	598572	1048692.0
1900556	434356	15800	598572	1048728.0
1900556	438832	15816	598608	1053256.0
1900556	411128	15832	598612	1025572.0
1900556	401032	15848	598612	1015492.0
1900556	422220	15856	598632	1036708.0
1900556	410096	15880	598644	1024620.0
1900556	406336	15912	598648	1020896.0
1900556	447816	15928	598644	1062388.0
1900556	421964	15944	598672	1036580.0
1900556	416024	15968	598692	1030684.0
1900556	409412	15992	600508	1025912.0
1900556	439900	16016	600020	1055936.0
1900556	427992	16080	601040	1045112.0
1900556	395212	16096	601076	1012384.0
1900556	415224	16120	601120	1032464.0
1900556	420860	16168	601104	1038132.0
1900556	415900	16196	602368	1034464.0
1900556	412300	16212	602368	1030880.0
1900556	416268	16272	602404	1034944.0
1900556	412120	16288	602404	1030812.0
1900556	432012	16304	602368	1050684.0
1900556	421484	16312	602368	1040164.0
1900556	434532	16312	602368	1053212.0
1900556	432256	16320	602368	1050944.0
1900556	447944	16344	603936	1068224.0
1900556	449152	16352	603944	1069448.0
1900556	449140	16368	603936	1069444.0
1900556	446424	16368	603944	1066736.0
1900556	443428	16368	603940	1063736.0
1900556	438428	16376	603940	1058744.0
1900556	442220	16384	603940	1062544.0
1900556	439276	16392	603940	1059608.0
1900556	435904	16392	603940	1056236.0
1900556	447604	16392	603944	1067940.0
1900556	448820	16424	603948	1069192.0
1900556	447236	16480	603956	1067672.0
1900556	446668	16488	603952	1067108.0
1900556	452204	16504	603952	1072660.0
1900556	450428	16512	603956	1070896.0
1900556	458204	16512	603952	1078668.0
1900556	457888	16520	603952	1078360.0
1900556	457276	16520	603952	1077748.0
1900556	458224	16520	603952	1078696.0
1900556	458336	16528	603952	1078816.0
1900556	455884	16528	603952	1076364.0
1900556	456312	16528	603952	1076792.0
1900556	455732	16528	603952	1076212.0
1900556	455048	16528	603952	1075528.0
1900556	454492	16528	603952	1074972.0
1900556	454104	16536	603952	1074592.0
1900556	454132	16536	603952	1074620.0
1900556	452276	16536	603952	1072764.0
1900556	454936	16536	603952	1075424.0
