Vss	Rss	Pss	Uss
1646804	121868	67013	59756
1716932	158324	99848	92532
1716600	156916	83768	63164
1726460	157844	98267	91224
1774120	167600	107904	100816
1781320	173736	113913	106732
1782276	172252	112429	105264
1781256	173140	113238	106040
1787388	184128	124017	116696
1814440	205660	145313	138036
2105104	225316	163955	156708
2175140	270500	208573	200928
2173092	270080	208110	200488
2177212	271976	210014	202348
2177224	272096	210128	202468
2177048	273648	211713	204064
2189428	279364	217397	209728
2191032	278072	216092	208440
2189504	278628	216626	208980
2183292	278492	216488	208840
2182588	278740	216736	209088
2181580	278684	216680	209032
2180404	278532	216526	208880
2180248	277596	215591	207944
2177112	277908	215785	208252
2180800	279020	216898	209368
2181068	281996	219870	212340
2190312	285644	223470	215952
2190312	285644	223470	215952
2189384	283052	220878	213360
2189384	283280	221130	213592
2189500	285576	223534	215896
2188264	285968	223957	216308
2169804	255908	193899	186224
2189172	257456	195447	187772
2207248	280320	218292	210604
2207240	261096	199080	191404
1960716	262344	200303	192604
1960524	262144	200102	192404
1960640	263024	200977	193276
1960188	262420	200373	192672
1954868	262876	200829	193128
1957980	265868	203801	196088
1956148	266664	204587	196868
1935796	260884	198807	191088
1941956	261248	199113	191352
1941916	261360	199224	191464
1945620	263860	201728	193964
1987880	296720	234557	226780
1982036	293228	231050	223276
1981792	292464	230300	222524
1979256	289976	227810	220036
2231380	279300	216894	208916
2299536	326216	262865	254192
2309432	330632	267256	258560
2320140	346196	282818	274116
2321900	369884	306506	297804
2320820	369780	306402	297700
2320784	367400	304022	295320
2320780	367168	303790	295088
2320948	362644	299250	290540
2317856	363632	300237	291528
2316840	362772	299379	290668
2316840	362740	299347	290636
2316840	361860	298467	289756
2316840	361968	298576	289864
2368388	370020	306493	297656
2386684	370016	306488	297652
2388808	370936	307386	298528
2362624	370920	307344	298452
2362652	371188	307604	298704
2312476	369312	305723	296820
2320636	383648	320053	311144
2346392	401100	337381	328356
2282904	360832	297057	288020
2302948	368076	304305	295268
2326188	383036	319258	310216
2307232	366128	302334	293272
2308288	365920	302125	293064
2307148	363620	299814	290748
2306676	364060	300262	291196
2066556	317176	253377	244312
2067144	317520	253720	244656
2068036	316864	253063	244000
2057500	306480	242678	233616
2057480	305584	241783	232720
2057480	305476	241666	232596
2059904	332240	268419	259340
2056764	333656	269839	260760
2057788	333768	269883	260748
2054676	335032	271147	262012
2066776	316788	252914	243788
2034908	304036	240162	231036
2038356	303776	239878	230800
2284228	315868	252018	242928
2292812	330724	266875	257776
2293168	335256	271406	262308
2292204	334820	270970	261872
2291944	331820	267971	258872
2291944	331212	267364	258264
2292120	330792	266941	257840
2292120	331552	267701	258600
2294144	331076	267224	258124
2036284	304984	241139	232048
2045136	302752	238897	229800
2300268	321368	257505	248404
2313656	326620	262757	253660
2313648	326736	262771	253760
2314704	326204	262239	253228
2314704	325640	261674	252664
2336116	345108	281140	272128
2336116	344480	280510	271492
2263932	326420	262449	253432
2307032	342028	278048	269020
2291516	318332	254232	245348
2291960	319996	255892	247012
2290888	319896	255794	246912
2306004	321804	257684	248796
2079972	316540	252419	243532
